#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
67;J0111-7131;NAN;NAN;NAN;52369.00;300.669;-45.510;17.86987500;-71.52966667;0.688542;7.09e-15;79.40;NAN;NAN;0.04;NAN;59.700;-42.589;-35.985;-12.840;EXGAL:SMC;misc;
68;J0113-7220;NAN;NAN;NAN;51212.00;300.615;-44.688;18.29620833;-72.34227778;0.325883;4.86e-15;125.49;NAN;NAN;0.19;NAN;59.700;-41.984;-36.527;-13.115;EXGAL:SMC;misc;
69;J0115+6325;NAN;NAN;NAN;57876.00;125.648;0.687;18.94112500;63.43077778;0.521455;1.60e-15;65.07;NAN;NAN;NAN;NAN;1.931;0.023;1.569;9.625;NAN;lotaas;
70;J0117+5914;-3.316;18.083;NAN;49751.00;126.283;-3.457;19.41108846;59.24399732;0.101439;5.85e-15;49.42;0.00;7.60;0.30;NAN;1.768;-0.107;1.423;9.544;XRS:[pb15],GRS:[saa+23];gb3,FermiAssoc,gbncc,lotaas;
71;J0120+1837;NAN;NAN;NAN;NAN;132.376;-43.711;20.05008754;18.63252691;1.313385;1.36e-17;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;0.000;8.500;NAN;gbncc;
72;J0121+53;NAN;NAN;NAN;NAN;127.378;-9.133;20.25000000;53.48333333;2.724785;NAN;91.38;NAN;NAN;NAN;NAN;2.644;-0.420;2.074;10.085;NAN;chime;
73;J0122+1416;NAN;NAN;NAN;57876.00;134.030;-47.940;20.50545833;14.27138889;1.388994;3.80e-15;17.69;NAN;NAN;NAN;NAN;1.583;-1.175;0.762;9.237;NAN;misc,ar327,gbncc,lotaas,fast_gpps;
74;J0125+62;NAN;NAN;NAN;56292.00;126.899;-0.022;21.50000000;62.58333333;1.708230;NAN;118.00;NAN;3.40;NAN;NAN;2.403;-0.001;1.922;9.943;NAN;gbncc;
75;J0129+36;NAN;NAN;NAN;NAN;131.492;-26.155;22.37500000;36.08333333;1.089000;NAN;54.00;NAN;NAN;NAN;NAN;25.000;-11.020;16.809;23.367;NAN;pumps;
76;J0131-7310;NAN;NAN;NAN;52335.00;298.944;-43.648;22.86879167;-73.16926111;0.348124;1.76e-15;205.22;NAN;NAN;0.06;NAN;59.700;-41.206;-37.803;-12.406;EXGAL:SMC;misc;
