#;NAME;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
270;J0623+0340;J0623+0340;NAN;NAN;NAN;54666.00;206.497;-4.459;95.94482917;3.66855556;0.613760;8.84e-17;54.00;18.780;NAN;NAN;NAN;0.27;NAN;1.375;1.375;-0.107;-0.612;9.727;NAN;pkspa;NAN;
271;B0621-04;J0624-0424;NAN;NAN;NAN;49876.00;213.792;-8.036;96.08345088;-4.41401459;1.039076;8.30e-16;70.83;5.100;63.000;0.00;4.90;1.40;NAN;1.938;1.938;-0.271;-1.067;10.095;NAN;mol2,gb2,lotaas,pks70;NAN;
272;J0625+10;J0625+10;NAN;NAN;NAN;49717.00;200.878;-0.956;96.43750000;10.26666667;0.498397;NAN;78.00;NAN;NAN;NAN;NAN;0.09;NAN;1.637;1.637;-0.027;-0.583;10.029;NAN;ar4,palfa;NAN;
273;J0627+0649;J0627+0649;NAN;NAN;NAN;54466.00;204.166;-2.085;96.97345250;6.83170278;0.346523;1.70e-15;86.60;3.400;17.000;NAN;NAN;1.90;NAN;1.794;1.794;-0.065;-0.734;10.136;NAN;pkspa,ar327,gbncc;NAN;
274;J0627+0706;J0627+0706;NAN;NAN;NAN;57600.00;203.902;-1.991;96.93405000;7.10916667;0.475885;2.98e-14;138.25;5.100;9.300;NAN;6.00;1.39;NAN;2.289;2.289;-0.080;-0.927;10.591;NAN;ar4,gbncc,lotaas,pkspa;NAN;
275;J0627+16;J0627+16;NAN;NAN;NAN;54466.00;195.793;2.124;96.80416667;16.20000000;2.180000;NAN;113.00;0.300;NAN;NAN;NAN;NAN;NAN;1.932;1.932;0.072;-0.525;10.358;NAN;palfa;RRAT;
276;J0628+0909;J0628+0909;NAN;NAN;NAN;54990.00;202.190;-0.851;97.15076250;9.15386111;1.241421;5.48e-16;87.90;2.500;4.900;NAN;NAN;0.06;NAN;1.767;1.767;-0.026;-0.667;10.136;NAN;palfa,fast_gpps;RRAT;
277;B0626+24;J0629+2415;3.560;-4.680;0.320;56000.00;188.817;6.223;97.27386375;24.26154056;0.476623;2.00e-15;84.18;8.400;22.300;0.00;31.00;3.20;NAN;2.900;1.667;0.314;-0.442;11.349;NAN;gb1,ar327,gb3,gb4,lotaas,fast_gpps;NAN;
278;J0630+19;J0630+19;NAN;NAN;NAN;57022.00;193.071;4.303;97.51666667;19.61666667;1.248550;NAN;48.10;35.000;NAN;NAN;NAN;NAN;NAN;0.982;0.982;0.074;-0.221;9.454;NAN;ar327;NAN;
279;J0630-0046;J0630-0046;NAN;NAN;NAN;54355.00;211.220;-5.020;97.61231667;-0.76829167;0.680575;3.75e-15;97.30;2.700;14.800;NAN;NAN;0.41;NAN;2.103;2.103;-0.184;-1.086;10.292;NAN;pkspa,gbncc,fast_gpps;NAN;
280;B0628-28;J0630-2834;-46.300;21.300;3.000;54100.00;236.952;-16.758;97.70585164;-28.57854967;1.244419;7.12e-15;34.42;63.000;122.000;0.00;206.00;32.00;NAN;0.320;2.069;-0.092;-0.257;8.667;XRS:RX_J0630.8-2834[bjk+05];mol1,mol2,pks70,pkshl;HE[to05];
281;J0631+0646;J0631+0646;NAN;NAN;NAN;55806.00;204.678;-1.238;97.96825000;6.77061111;0.110979;3.62e-15;195.20;21.000;NAN;NAN;NAN;NAN;NAN;4.583;4.583;-0.099;-1.913;12.663;GRS:4FGL_J0631.8+0645[aab+22];FermiBlind;HE[wcp+18];
282;J0631+1036;J0631+1036;NAN;NAN;NAN;53850.00;201.219;0.450;97.86468333;10.61736111;0.287816;1.03e-13;125.30;8.200;24.500;0.00;1.50;1.11;NAN;2.104;2.104;0.017;-0.761;10.461;GRS:4FGL_J0631.5+1036[aab+22];misc,FermiBlind,ar4,palfa,fast_gpps;HE[tsn+01],HE[waa+10];
283;J0633+0632;J0633+0632;NAN;NAN;NAN;54945.00;205.093;-0.932;98.43420833;6.54302778;0.297395;7.96e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;1.355;NAN;-0.022;-0.575;9.727;GRS:4FGL_J0633.7+0632[aab+22],XRS:Swift_;FermiBlind;NRAD[aab+22];
284;J0633+1746;J0633+1746;138.000;97.000;6.400;49793.00;195.134;4.266;98.47563750;17.77025250;0.237099;1.10e-14;2.89;NAN;NAN;NAN;NAN;NAN;NAN;0.190;0.138;0.014;-0.049;8.683;GRS:4FGL_J0633.9+1746[aab+22],XRS:1E0630;misc,FermiBlind;HE[aab+22];
285;J0633-2015;J0633-2015;NAN;NAN;NAN;53389.00;229.260;-12.968;98.28691667;-20.25197222;3.253211;3.82e-15;90.70;57.000;70.000;NAN;NAN;0.20;NAN;3.676;3.676;-0.825;-2.714;10.838;NAN;pkshl;NAN;
286;J0635+0533;J0635+0533;NAN;NAN;NAN;50744.00;206.151;-1.043;98.82500000;5.55305556;0.033856;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;OPT:Be-star;misc;NRAD;
287;J0636-23;J0636-23;NAN;NAN;NAN;NAN;232.113;-13.492;99.00000000;-23.00000000;0.476000;NAN;59.12;15.000;27.000;NAN;NAN;NAN;NAN;2.815;2.815;-0.657;-2.160;10.181;NAN;gbncc;NAN;
288;J0636-3044;J0636-3044;NAN;NAN;NAN;55738.00;239.683;-16.344;99.28750000;-30.84500000;0.003946;NAN;15.46;NAN;NAN;NAN;NAN;1.51;NAN;0.679;0.679;-0.191;-0.562;8.829;NAN;htru_pks;NAN;
289;J0636-4549;J0636-4549;NAN;NAN;NAN;52700.00;254.547;-21.547;99.14060000;-45.82572778;1.984597;3.17e-15;26.31;17.000;37.000;NAN;NAN;0.10;NAN;0.383;0.383;-0.141;-0.343;8.595;NAN;pkshl;NAN;
290;J0637+0332g;J0637+0332g;NAN;NAN;NAN;NAN;208.218;-1.443;99.42083333;3.53333333;NAN;NAN;152.00;NAN;NAN;NAN;NAN;NAN;NAN;2.542;2.542;-0.064;-1.202;10.739;NAN;fast_gpps;RRAT[zhx+23];
291;J0641+07;J0641+07;NAN;NAN;NAN;NAN;204.882;1.252;100.29166667;7.73333333;NAN;NAN;52.00;NAN;NAN;NAN;NAN;NAN;NAN;1.257;1.257;0.027;-0.529;9.640;NAN;misc;RRAT[ttm18];
292;J0645+5158;J0645+5158;-7.437;1.479;0.820;56809.00;163.963;20.251;101.49617629;51.97080920;0.008853;4.92e-21;18.25;0.260;0.600;NAN;2.40;0.29;NAN;1.220;0.672;0.422;0.316;9.600;XRS:[ska+16];gbncc,lotaas;NAN;
293;J0645+80;J0645+80;NAN;NAN;NAN;56292.00;133.945;26.465;101.50000000;80.15000000;0.657870;NAN;49.70;32.000;53.000;NAN;5.50;NAN;NAN;5.145;5.145;2.293;3.316;11.696;NAN;gbncc,lotaas;NAN;
294;J0646+0905;J0646+0905;NAN;NAN;NAN;57600.00;204.271;3.051;101.62927083;9.09711111;0.903913;7.36e-16;147.85;22.000;42.000;0.01;NAN;3.60;NAN;2.504;2.504;0.133;-1.028;10.779;NAN;pkspa;NAN;
295;J0646-54;J0646-54;NAN;NAN;NAN;NAN;264.400;-22.600;101.59333333;-54.88250000;0.002510;NAN;40.10;NAN;NAN;NAN;NAN;NAN;NAN;0.367;0.367;-0.141;-0.337;8.533;GRS:4FGL_J0646.4-5455[aab+22];misc,FermiAssoc;HE[aab+22];
296;J0647+0913;J0647+0913;NAN;NAN;NAN;54195.00;204.233;3.277;101.81533333;9.23319444;1.234854;6.42e-15;157.50;2.800;9.600;NAN;NAN;0.18;NAN;2.742;2.742;0.157;-1.124;10.996;NAN;pkspa,fast_gpps;NAN;
297;J0648-27;J0648-27;NAN;NAN;NAN;NAN;237.001;-12.645;102.00000000;-27.00000000;4.169000;NAN;132.50;54.000;116.000;NAN;NAN;NAN;NAN;9.987;9.987;-2.186;-8.173;13.807;NAN;gbncc;NAN;
298;J0652-0142;J0652-0142;NAN;NAN;NAN;54031.00;214.538;-0.613;103.04627500;-1.70841667;0.924054;1.52e-16;116.30;21.000;24.000;NAN;NAN;0.41;NAN;2.318;2.318;-0.025;-1.314;10.409;NAN;pkspa,gbncc;NAN;
299;B0643+80;J0653+8051;19.000;-1.000;NAN;48712.00;133.178;26.828;103.31287500;80.86672778;1.214441;3.80e-15;33.32;13.900;41.900;NAN;6.50;0.40;NAN;2.348;2.348;1.060;1.528;9.934;NAN;gb1,gbncc,lotaas;NAN;
300;J0653-06;J0653-06;NAN;NAN;NAN;NAN;218.690;-2.507;103.25000000;-6.26666667;0.790000;NAN;83.70;NAN;NAN;NAN;NAN;NAN;NAN;2.140;2.140;-0.094;-1.336;10.169;NAN;chime;RRAT[dcm+23];
301;J0656-2228;J0656-2228;NAN;NAN;NAN;52850.00;233.655;-8.982;104.12586250;-22.47376389;1.224754;2.67e-17;32.39;16.000;29.000;NAN;NAN;3.00;NAN;1.623;1.623;-0.253;-1.291;9.450;NAN;pkshl,gbncc;NAN;
302;J0656-5449;J0656-5449;NAN;NAN;NAN;53000.00;264.795;-21.141;104.20412500;-54.82081111;0.183157;3.19e-17;67.50;5.700;10.200;NAN;NAN;0.40;NAN;0.372;0.372;-0.134;-0.346;8.531;NAN;pkssw;NAN;
303;J0658+0022;J0658+0022;NAN;NAN;NAN;54322.00;213.374;1.688;104.56337083;0.37647222;0.563295;9.15e-15;115.60;12.670;NAN;NAN;NAN;0.13;NAN;2.301;2.301;0.068;-1.265;10.421;NAN;pkspa,fast_gpps;NAN;
304;J0658+2936;J0658+2936;NAN;NAN;NAN;59266.00;186.671;14.275;104.43591667;29.60805556;0.823701;1.44e-15;39.00;21.300;38.200;NAN;NAN;NAN;NAN;0.815;0.815;0.201;-0.092;9.284;NAN;chime,ar327;NAN;
305;B0656+14;J0659+1414;44.100;-2.400;3.500;57600.00;201.108;8.258;104.95081667;14.23872222;0.384929;5.49e-14;13.90;13.900;29.700;0.00;6.50;2.70;NAN;0.286;0.159;0.041;-0.102;8.764;GRS:4FGL_J0659.7+1416[aab+22],SNR:Monoge;mol2,FermiBlind,lotaas,fast_gpps;HE[chmm89],HE[rfk+96],HE[;
306;J0659-36;J0659-36;NAN;NAN;NAN;NAN;246.437;-14.139;104.75000000;-36.00000000;0.637000;NAN;83.40;13.000;35.000;NAN;NAN;NAN;NAN;3.916;3.916;-0.957;-3.481;10.018;NAN;gbncc;NAN;
307;J0702-4956;J0702-4956;NAN;NAN;NAN;57086.00;260.190;-18.723;105.66375000;-49.94283333;0.665994;NAN;98.70;NAN;NAN;NAN;NAN;NAN;NAN;0.538;0.538;-0.173;-0.502;8.587;NAN;ghrss;NAN;
308;J0709-5923;J0709-5923;NAN;NAN;NAN;53000.00;270.029;-20.899;107.38555417;-59.39877778;0.485268;1.26e-16;65.00;4.700;9.500;NAN;NAN;0.30;NAN;0.371;0.371;-0.132;-0.347;8.500;NAN;pkssw;NAN;
309;J0711+0931;J0711+0931;NAN;NAN;NAN;NAN;206.674;8.776;107.90075000;9.52361111;1.214090;4.00e-16;46.24;19.600;62.300;NAN;2.40;0.04;NAN;1.168;1.168;0.178;-0.518;9.531;NAN;misc,ar327,fast_gpps;NAN;
310;J0711-6830;J0711-6830;-15.565;14.180;NAN;55636.00;279.531;-23.280;107.97575018;-68.51315682;0.005491;1.49e-20;18.41;1.092;2.570;NAN;10.00;2.60;NAN;0.106;0.106;-0.042;-0.096;8.484;NAN;pks70,pkssw;NAN;
311;J0719-2545;J0719-2545;NAN;NAN;NAN;53000.00;238.934;-5.826;109.78075000;-25.75006389;0.974725;7.28e-15;253.89;14.000;28.000;NAN;NAN;0.80;NAN;9.810;9.810;-0.996;-8.360;13.536;NAN;pkshl,gbncc;NAN;
312;J0720-3125;J0720-3125;-93.900;52.800;2.800;52645.10;244.158;-8.165;110.10400833;-31.43057861;8.391116;6.98e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.400;NAN;-0.057;-0.356;8.673;XRS:RX_J0720.4-3125,OPT:[kva07];misc;XINS,NRAD;
313;J0723-2050;J0723-2050;NAN;NAN;NAN;59165.00;234.992;-2.733;110.77000000;-20.83111111;0.711540;NAN;130.00;3.700;NAN;NAN;NAN;NAN;NAN;3.265;3.265;-0.156;-2.671;10.371;NAN;meerkat_trapum;RRAT(?)[bbc+22];
314;J0725-1635;J0725-1635;NAN;NAN;NAN;50884.00;231.473;-0.330;111.25168397;-16.59605977;0.424311;9.26e-17;98.98;2.900;10.000;NAN;4.00;0.33;NAN;2.777;2.777;-0.016;-2.172;10.230;NAN;pks70,gbncc,pksmb;NAN;
315;J0726-2612;J0726-2612;NAN;NAN;NAN;52950.00;240.079;-4.644;111.53383333;-26.21058333;3.442308;2.93e-13;69.40;77.000;104.000;NAN;NAN;0.20;NAN;2.900;2.900;-0.235;-2.505;9.942;XRS:1RXS_J072559.8-261229[skk11];pkshl,gbncc;NAN;
316;J0729-1448;J0729-1448;NAN;NAN;NAN;56471.00;230.392;1.424;112.31854167;-14.81022222;0.251709;1.13e-13;91.89;7.600;18.000;NAN;NAN;0.83;NAN;2.681;2.681;0.067;-2.065;10.209;GRS:4FGL_J0729.3-1445[aab+22];pksmb,FermiBlind,gbncc;HE[mhl+02],HE[aab+22];
317;B0727-18;J0729-1836;-13.060;13.300;0.500;56000.00;233.760;-0.341;112.38473708;-18.61173444;0.510160;1.90e-14;61.29;14.000;25.000;NAN;11.20;1.90;NAN;2.000;2.403;-0.012;-1.613;9.682;NAN;mol2,FermiAssoc,pks70,pkshl,pksmb;HE[sbc+19];
318;J0733-2345;J0733-2345;NAN;NAN;NAN;53014.00;238.713;-2.030;113.35250000;-23.76561111;1.796250;5.70e-15;190.20;18.000;58.000;NAN;NAN;0.07;NAN;4.122;4.122;-0.146;-3.520;10.639;NAN;pksmb,gbncc;NAN;
319;J0734+14;J0734+14;NAN;NAN;NAN;NAN;204.331;16.059;113.62500000;14.71666667;1.772000;NAN;50.00;NAN;NAN;NAN;NAN;NAN;NAN;1.416;1.416;0.392;-0.561;9.740;NAN;pumps;NAN;
320;J0734-1559;J0734-1559;NAN;NAN;NAN;55000.00;232.062;2.016;113.69039583;-15.98840000;0.156250;1.22e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;-0.000;8.500;GRS:4FGL_J0734.7-1559[aab+22];FermiBlind;NRAD[aab+22];
321;J0736-6304;J0736-6304;NAN;NAN;NAN;56212.00;274.881;-19.153;114.08337500;-63.07111111;4.862874;1.52e-13;19.40;30.000;NAN;NAN;NAN;NAN;NAN;0.103;0.103;-0.034;-0.097;8.492;NAN;pkssw;RRAT;
322;J0737-2202;J0737-2202;NAN;NAN;NAN;51581.00;237.685;-0.318;114.43362917;-22.03481111;0.320366;5.47e-15;95.59;5.300;28.000;NAN;NAN;0.47;NAN;3.059;3.059;-0.017;-2.585;10.135;NAN;pksmb,gbncc;NAN;
323;J0738+6904;J0738+6904;NAN;NAN;NAN;56425.00;146.593;29.377;114.59419042;69.07223006;6.827693;2.70e-14;17.22;61.000;154.000;NAN;NAN;NAN;NAN;1.124;1.124;0.551;0.539;9.318;NAN;gbncc;NAN;
324;B0736-40;J0738-4042;-37.000;30.000;NAN;51360.00;254.193;-9.192;114.63465417;-40.71116389;0.374920;1.62e-15;160.49;25.000;39.000;0.00;190.00;112.60;NAN;1.600;1.540;-0.256;-1.520;8.930;NAN;mol1,htru_pks,mol2,pks70,pkshl;NAN;
325;J0741+17;J0741+17;NAN;NAN;NAN;NAN;202.768;18.438;115.25000000;17.05000000;1.730000;NAN;44.30;NAN;NAN;NAN;NAN;NAN;NAN;1.207;1.207;0.382;-0.443;9.556;NAN;chime;RRAT[dcm+23];
326;J0742+4334;J0742+4334;NAN;NAN;NAN;57998.00;175.536;27.214;115.67554167;43.56727778;0.606191;3.71e-16;36.26;30.000;NAN;NAN;NAN;NAN;NAN;1.610;1.610;0.736;0.111;9.927;NAN;lotaas;NAN;
327;B0740-28;J0742-2822;-29.000;4.000;NAN;49326.00;243.773;-2.444;115.70440833;-28.37882222;0.166762;1.68e-14;73.73;4.400;7.200;0.00;296.00;26.00;NAN;2.000;3.114;-0.085;-1.792;9.383;GRS:4FGL_J0742.8-2822[aab+22];misc,FermiBlind,htru_pks,mol2,pks70;HE;
328;J0744-2525;J0744-2525;NAN;NAN;NAN;58984.00;241.334;-0.743;116.00000000;-25.41666667;0.091996;9.56e-16;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;GRS:4FGL_J0744.0-2525[aab+22];FermiAssoc;NRAD[nie+20];
329;B0743-53;J0745-5353;-60.000;50.000;NAN;55129.00;266.660;-14.283;116.26866667;-53.88598889;0.214839;2.19e-15;121.38;10.700;30.000;0.00;23.00;5.00;NAN;0.565;0.565;-0.139;-0.547;8.532;NAN;mol2,ghrss,htru_pks,pks70,pkssw;NAN;
330;J0746-4529;J0746-4529;NAN;NAN;NAN;52950.00;259.203;-10.103;116.74799167;-45.49073611;2.791025;1.67e-14;134.57;38.000;68.000;NAN;NAN;0.20;NAN;0.810;0.810;-0.142;-0.783;8.649;NAN;pkshl;NAN;
331;J0747+6646;J0747+6646;NAN;NAN;NAN;56500.00;149.218;30.283;116.91536403;66.78243486;0.407701;6.78e-16;27.58;6.000;21.000;NAN;NAN;NAN;NAN;1.864;1.864;0.940;0.824;9.883;NAN;gbncc;NAN;
332;J0749+5720;J0749+5720;NAN;NAN;NAN;NAN;160.152;30.310;117.42551393;57.34788547;1.174929;8.31e-17;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;NAN;gbncc;NAN;
333;J0749-4247;J0749-4247;NAN;NAN;NAN;49014.00;257.066;-8.349;117.45697917;-42.79503889;1.095452;9.77e-16;104.59;15.000;27.000;0.00;8.00;0.50;NAN;0.560;0.560;-0.081;-0.540;8.624;NAN;pks70,htru_pks,pkshl;NAN;
334;J0750+57;J0750+57;NAN;NAN;NAN;56292.00;160.557;30.327;117.50000000;57.00000000;1.174870;NAN;26.70;13.000;104.000;NAN;2.90;NAN;NAN;1.604;1.604;0.810;0.461;9.806;NAN;gbncc,lotaas;NAN;
335;J0750-6846;J0750-6846;NAN;NAN;NAN;56839.00;281.056;-20.048;117.64937500;-68.77605833;0.915216;1.10e-16;54.60;188.500;NAN;NAN;NAN;1.70;NAN;0.338;0.338;-0.116;-0.312;8.439;NAN;pks_superb;NAN;
336;J0753-0816;J0753-0816;NAN;NAN;NAN;56316.00;227.607;9.771;118.38750000;-8.32638889;2.093620;NAN;38.00;NAN;NAN;NAN;NAN;NAN;NAN;1.718;1.718;0.292;-1.250;9.641;NAN;htru_pks;NAN;
337;B0751+32;J0754+3231;-4.000;7.000;NAN;48725.00;188.187;26.721;118.66953333;32.53227778;1.442349;1.08e-15;39.99;30.300;71.800;0.00;8.00;0.60;NAN;1.464;1.464;0.658;-0.186;9.794;NAN;gb1,ar327,ar4,lotaas;NAN;
338;B0756-15;J0758-1528;-10.000;12.000;NAN;49896.00;234.464;7.224;119.62112833;-15.46909389;0.682265;1.62e-15;63.33;7.300;11.000;NAN;8.20;2.60;NAN;2.710;2.710;0.341;-2.188;10.063;NAN;mol2,gb3,pks70,pkshl;NAN;
339;J0758-30;J0758-30;NAN;NAN;NAN;NAN;246.856;-0.417;119.50000000;-30.00000000;1.092000;NAN;86.50;27.000;50.000;NAN;NAN;NAN;NAN;0.444;0.444;-0.003;-0.408;8.675;NAN;gbncc;NAN;
340;J0758-3002;J0758-3002;NAN;NAN;NAN;NAN;246.936;-0.361;119.60286306;-30.03905001;1.091870;3.84e-16;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;NAN;gbncc;NAN;
341;J0802-5613;J0802-5613;NAN;NAN;NAN;59201.00;269.950;-13.239;120.50000000;-56.21666667;0.273973;2.76e-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;GRS:4FGL_J0802.1-5612[aab+22];FermiAssoc;NRAD[nie+20];
342;J0803+34;J0803+34;NAN;NAN;NAN;NAN;186.778;28.890;120.77083333;34.31666667;NAN;NAN;34.00;NAN;NAN;NAN;NAN;NAN;NAN;1.305;1.305;0.630;-0.135;9.635;NAN;misc;RRAT[ttm18];
343;J0803-0942;J0803-0942;NAN;NAN;NAN;58410.00;230.070;11.196;120.86186667;-9.71411389;0.571257;1.16e-15;21.10;8.210;15.800;NAN;NAN;0.10;NAN;0.818;0.818;0.159;-0.615;9.015;NAN;misc,fast_crafts;NAN;
344;J0804-3647;J0804-3647;NAN;NAN;NAN;54987.00;253.331;-2.872;121.09250000;-36.79319444;2.191987;4.21e-15;186.80;32.000;41.000;NAN;NAN;0.29;NAN;2.916;2.916;-0.146;-2.790;9.335;NAN;pkspa,gbncc;NAN;
345;J0806+08;J0806+08;NAN;NAN;NAN;56477.00;213.920;20.334;121.52083333;8.28333333;2.063100;NAN;46.00;9.500;NAN;NAN;NAN;NAN;NAN;1.848;1.848;0.642;-0.967;9.938;NAN;ar327,fast_gpps;NAN;
346;J0806-4123;J0806-4123;NAN;NAN;NAN;54771.32;257.426;-4.983;121.59750000;-41.37525000;11.370386;5.56e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;XRS:RX_J0806.4-4123[hmp98],OPT:[kkvh11];misc;XINS,NRAD;
347;J0807-5421;J0807-5421;NAN;NAN;NAN;55333.00;268.727;-11.594;121.94660417;-54.35735000;0.526644;3.78e-16;165.03;11.000;17.000;NAN;NAN;0.40;NAN;0.887;0.887;-0.178;-0.869;8.519;NAN;htru_pks;NAN;
348;J0808-3937;J0808-3937;NAN;NAN;NAN;54881.00;256.134;-3.759;122.04845833;-39.63136111;0.866349;4.01e-16;169.10;11.000;30.000;NAN;NAN;0.21;NAN;2.884;2.884;-0.189;-2.794;9.190;NAN;pkspa,gbncc;NAN;
349;B0808-47;J0809-4753;-19.000;15.000;NAN;57600.00;263.301;-7.957;122.43264583;-47.89852778;0.547202;3.08e-15;228.30;8.500;25.000;0.00;46.00;2.60;NAN;6.488;6.488;-0.898;-6.382;9.250;NAN;mol2,ghrss,htru_pks,pks70,pkssw;NAN;
350;J0811+37;J0811+37;NAN;NAN;NAN;NAN;183.676;31.217;122.80000000;37.46666667;1.248300;NAN;14.90;6.200;12.300;NAN;NAN;NAN;NAN;0.263;0.263;0.136;-0.014;8.724;NAN;misc,lotaas,fast_gpps;NAN;
351;J0812-3905;J0812-3905;NAN;NAN;NAN;55083.00;256.111;-2.811;123.06167500;-39.09692222;0.482596;4.49e-17;329.60;37.000;47.000;NAN;NAN;0.38;NAN;5.860;5.860;-0.287;-5.682;9.905;NAN;pkspa,gbncc;NAN;
352;J0813+22;J0813+22;NAN;NAN;NAN;NAN;200.909;27.480;123.47500000;22.01666667;0.531400;NAN;52.29;60.000;109.200;NAN;NAN;NAN;NAN;2.449;2.449;1.130;-0.775;10.530;NAN;lotaas,ar327,fast_gpps;NAN;
353;B0809+74;J0814+7429;24.020;-44.000;2.310;49162.00;139.998;31.618;123.74791667;74.48491667;1.292241;1.68e-16;5.75;41.400;89.500;0.00;79.00;10.00;NAN;0.432;0.368;0.226;0.236;8.782;NAN;gb1,gb2,gb4,gbncc,lotaas;NAN;
354;J0815+0939;J0815+0939;NAN;NAN;NAN;NAN;213.626;22.950;123.78656667;9.66408333;0.645161;1.39e-16;52.66;55.800;176.400;NAN;3.70;NAN;NAN;2.491;2.491;0.971;-1.270;10.410;NAN;ar4,ar327;NAN;
355;J0815+4611;J0815+4611;NAN;NAN;NAN;57662.00;173.626;33.453;123.99775958;46.19812222;0.434242;3.90e-18;11.20;7.700;16.000;NAN;2.50;NAN;NAN;0.353;0.353;0.195;0.033;8.793;NAN;lotaas,gbncc,fast_gpps;NAN;
356;J0818-3049;J0818-3049;NAN;NAN;NAN;55903.00;249.983;2.908;124.70541667;-30.82527778;0.763742;5.80e-16;118.90;46.000;84.000;NAN;NAN;0.33;NAN;0.422;0.422;0.021;-0.396;8.644;NAN;pkspa,gbncc;NAN;
357;J0818-3232;J0818-3232;NAN;NAN;NAN;52500.00;251.358;1.875;124.60806250;-32.54181389;2.161259;7.53e-16;131.80;11.000;42.000;NAN;NAN;1.40;NAN;0.484;0.484;0.016;-0.458;8.655;NAN;pkshl,gbncc,htru_pks;NAN;
358;B0818-13;J0820-1350;21.640;-39.440;0.510;52275.00;235.890;12.595;125.10992375;-13.84884972;1.238130;2.11e-15;40.94;23.000;34.000;0.00;102.00;6.00;NAN;1.900;2.321;0.414;-1.535;9.540;NAN;mol1,gb3,mol2,pks70,pkshl;NAN;
359;J0820-3826;J0820-3826;NAN;NAN;NAN;55583.00;256.523;-1.032;125.24970417;-38.44525000;0.124837;2.44e-15;195.50;6.000;13.000;NAN;NAN;0.49;NAN;4.084;4.084;-0.074;-3.971;9.452;NAN;pkspa,gbncc;NAN;
360;J0820-3921;J0820-3921;NAN;NAN;NAN;52700.00;257.261;-1.583;125.20462500;-39.36547222;1.073567;1.22e-14;179.40;46.000;106.000;NAN;NAN;0.40;NAN;3.576;3.576;-0.099;-3.487;9.288;NAN;pkshl,gbncc,htru_pks;NAN;
361;B0818-41;J0820-4114;NAN;NAN;NAN;57600.00;258.749;-2.734;125.06441667;-41.24311111;0.545446;1.98e-17;113.40;141.000;175.000;0.00;65.00;5.00;NAN;0.571;0.571;-0.027;-0.559;8.611;NAN;mol2,htru_pks,pks70,pkshl,pksmb;NAN;
362;J0821-4221;J0821-4221;NAN;NAN;NAN;52950.00;259.825;-3.137;125.43598333;-42.35707222;0.396728;3.48e-15;270.60;4.300;23.000;NAN;NAN;0.80;NAN;5.802;5.802;-0.318;-5.702;9.523;NAN;pkshl,htru_pks;NAN;
363;J0821-4300;J0821-4300;-54.000;-28.000;NAN;53454.00;260.382;-3.473;125.48902208;-43.00474278;0.112799;9.29e-18;NAN;NAN;NAN;NAN;NAN;NAN;NAN;2.200;NAN;-0.133;-2.165;8.867;SNR:PUPPIS_A,XRS:RX_J0822-4300;misc;NRAD;
364;B0823+26;J0826+2637;63.000;-96.750;2.010;56000.00;196.964;31.743;126.71461167;26.62258250;0.530661;1.71e-15;19.48;8.000;17.100;0.00;73.00;10.00;NAN;0.500;0.315;0.263;-0.124;8.907;NAN;gb1,ar327,ar4,gb4,lotaas;HE[bwt+04];
365;J0827+53;J0827+53;NAN;NAN;NAN;NAN;165.470;35.647;126.95000000;53.00000000;0.013500;NAN;23.10;186.000;NAN;NAN;NAN;NAN;NAN;1.571;1.571;0.916;0.320;9.736;NAN;lotaas,fast_gpps;NAN;
366;B0826-34;J0828-3417;NAN;NAN;NAN;48132.00;253.965;2.561;127.06927293;-34.28529102;1.848919;9.96e-16;51.60;113.000;913.000;NAN;16.00;0.25;NAN;0.354;0.354;0.016;-0.340;8.598;NAN;mol2,gbncc,pks70,pkshl,pksmb;NAN;
367;J0831-4406;J0831-4406;NAN;NAN;NAN;51396.00;262.285;-2.694;127.88512500;-44.10330556;0.311674;1.28e-15;254.00;5.500;16.000;NAN;NAN;0.43;NAN;5.883;5.883;-0.276;-5.823;9.289;NAN;pksmb,htru_pks;NAN;
