#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
2210;J1925+19;NAN;NAN;NAN;54346.00;53.697;1.412;291.35833333;19.06666667;1.916353;NAN;328.00;NAN;NAN;NAN;NAN;8.329;0.205;6.710;3.570;NAN;pksngp;
2211;J1926+0431;NAN;NAN;NAN;57600.00;40.980;-5.674;291.60196667;4.52542778;1.074080;2.46e-15;102.24;0.00;22.00;NAN;NAN;4.995;-0.494;3.260;4.748;NAN;mol2,pkssw,gb4,lotaas;
2212;J1926-0652;NAN;NAN;NAN;58210.00;30.751;-10.936;291.65433750;-6.87852778;1.608816;3.91e-16;85.30;NAN;NAN;1.01;NAN;5.286;-1.003;2.654;4.040;NAN;fast_uwb;
2213;J1926+0737;NAN;NAN;NAN;54833.60;43.739;-4.256;291.64058333;7.61866667;0.318062;3.75e-16;159.00;NAN;NAN;0.11;NAN;8.722;-0.647;6.014;2.216;NAN;pksmb;
2214;J1926-1314;NAN;NAN;NAN;55791.00;24.922;-13.763;291.72431250;-13.23438889;4.864284;3.64e-14;40.83;NAN;NAN;NAN;NAN;1.531;-0.364;0.627;7.151;NAN;gb350;
2215;J1926+1434;NAN;NAN;NAN;48717.00;49.923;-1.039;291.73844133;14.58203825;1.324922;2.19e-16;211.41;0.00;9.00;0.48;NAN;5.649;-0.102;4.322;4.864;NAN;ar1,jb2,ar3,pksmb,palfa;
2216;J1926+1613;NAN;NAN;NAN;56657.00;51.252;-0.060;291.50000000;16.21666667;0.308300;NAN;32.90;NAN;NAN;NAN;NAN;1.519;-0.002;1.185;7.549;NAN;palfa;
2217;J1926+1648;5.942;-15.156;NAN;49857.00;51.859;0.063;291.68884545;16.80910566;0.579823;1.80e-14;176.88;0.00;8.00;1.30;NAN;6.000;0.007;4.719;4.794;NAN;ar1,jb2,ar2,ar3,ar4,palfa;
2218;J1926+1928;NAN;NAN;NAN;51600.00;54.158;1.407;291.59508333;19.46991667;1.346012;1.43e-15;445.00;NAN;0.80;NAN;NAN;10.569;0.259;8.565;2.313;NAN;ar1;
2219;J1926+2016;NAN;NAN;NAN;53595.00;54.851;1.802;291.57526667;20.26698056;0.299072;3.50e-15;247.00;NAN;NAN;0.12;NAN;5.948;0.187;4.861;5.077;NAN;pksngp,palfa;
2220;J1927+0911;NAN;NAN;NAN;53454.00;45.224;-3.705;291.85678333;9.18491667;0.290305;6.35e-17;202.70;NAN;NAN;0.16;NAN;10.939;-0.707;7.749;0.811;NAN;pksmb;
2221;J1927+1852;NAN;NAN;NAN;51600.00;53.718;0.956;291.79342500;18.86902778;0.482766;1.16e-16;254.00;NAN;3.40;0.44;NAN;5.302;0.088;4.273;5.363;NAN;ar1,ar3,palfa;
2222;J1927+1856;NAN;NAN;NAN;51600.00;53.811;0.941;291.85404167;18.94355556;0.298313;2.24e-15;99.00;NAN;2.20;0.55;NAN;3.100;0.051;2.502;6.670;NAN;ar1,ar3,palfa;
2223;J1927+2234;NAN;NAN;NAN;42830.50;56.983;2.730;291.78366667;22.58258333;1.431066;7.71e-16;180.00;NAN;6.00;NAN;NAN;6.712;0.320;5.622;4.847;NAN;ar1,ar3;
2224;J1928+1443;NAN;NAN;NAN;56700.00;50.178;-1.220;292.02829167;14.71980556;1.010739;2.10e-16;101.00;NAN;NAN;0.17;NAN;3.079;-0.066;2.364;6.529;NAN;palfa;
2225;J1928+15;NAN;NAN;NAN;54466.00;50.640;-1.030;292.08333333;15.21666667;0.403000;NAN;242.00;NAN;NAN;NAN;NAN;5.746;-0.103;4.442;4.857;NAN;palfa;
2226;J1928+1746;NAN;NAN;NAN;54770.00;52.931;0.114;292.17730417;17.77489444;0.068730;1.32e-14;176.68;NAN;NAN;0.28;NAN;4.337;0.009;3.461;5.886;GRS:[sbc+19];palfa;
2227;J1928+1923;NAN;NAN;NAN;53640.00;54.281;1.016;292.02151250;19.39203333;0.817330;6.35e-15;476.00;NAN;NAN;0.64;NAN;10.566;0.187;8.577;2.332;NAN;pksngp,palfa;
2228;J1929+00;NAN;NAN;NAN;49717.00;37.687;-8.253;292.36666667;0.43333333;1.166900;NAN;33.00;NAN;NAN;NAN;NAN;1.259;-0.181;0.762;7.514;NAN;ar4,pkssw,lotaas;
2229;J1929+1357;NAN;NAN;NAN;56440.00;49.633;-1.810;292.29425000;13.95997222;0.866927;3.66e-15;150.70;NAN;NAN;2.20;NAN;4.768;-0.151;3.631;5.413;NAN;palfa;
2230;J1929+16;NAN;NAN;NAN;53480.00;51.747;-0.692;292.32500000;16.35000000;0.529681;NAN;12.00;NAN;NAN;NAN;NAN;0.762;-0.009;0.598;8.028;NAN;pksngp;
2231;J1929+1844;NAN;NAN;NAN;51600.00;53.852;0.461;292.31991667;18.74986111;1.220470;2.36e-15;112.00;NAN;1.70;NAN;NAN;3.324;0.027;2.684;6.539;NAN;ar1,lotaas;
2232;J1929+19;NAN;NAN;NAN;53363.00;54.173;0.568;292.38333333;19.08333333;0.339215;NAN;527.00;NAN;NAN;NAN;NAN;11.625;0.115;9.425;1.696;NAN;pksngp;
2233;J1929+1955;NAN;NAN;NAN;53595.00;54.879;1.018;292.32321375;19.91886389;0.257832;2.56e-15;281.00;NAN;NAN;0.42;NAN;6.603;0.117;5.400;4.702;NAN;pksngp,palfa;
2234;J1929+2121;NAN;NAN;NAN;53635.00;56.117;1.751;292.26766250;21.35630000;0.723599;2.14e-15;66.00;NAN;NAN;0.23;NAN;2.653;0.081;2.201;7.022;NAN;pksngp;
2235;J1929+3817;NAN;NAN;NAN;57545.00;71.174;9.689;292.27922500;38.29930556;0.814215;6.10e-16;93.40;NAN;NAN;NAN;NAN;9.321;1.569;8.697;5.535;NAN;gbncc;
2236;J1929+62;NAN;NAN;NAN;56292.00;93.758;19.635;292.25000000;62.26666667;1.456004;NAN;67.70;NAN;1.40;NAN;NAN;11.972;4.023;11.252;9.239;NAN;gbncc,lotaas;
2237;J1930+1316;NAN;NAN;NAN;42828.50;49.124;-2.319;292.50394583;13.26975000;0.760032;3.66e-15;207.30;NAN;5.00;0.18;NAN;6.339;-0.256;4.789;4.355;NAN;ar1,pksmb;
2238;J1930+14;NAN;NAN;NAN;56657.00;49.764;-1.966;292.50000000;14.00000000;0.425710;NAN;209.20;NAN;NAN;0.04;NAN;5.937;-0.204;4.530;4.667;NAN;palfa;
2239;J1930+17;NAN;NAN;NAN;53443.00;52.847;-0.481;292.68333333;17.41666667;1.609690;NAN;201.00;NAN;NAN;0.12;NAN;4.663;-0.039;3.716;5.684;NAN;pksngp,palfa;
2240;J1930+1852;NAN;NAN;NAN;52280.00;54.096;0.265;292.62554167;18.87058333;0.136855;7.51e-13;308.00;NAN;NAN;0.06;NAN;7.000;0.032;5.670;4.395;SNR:G54.1+0.3,XRS:;misc;
2241;J1931-0144;NAN;NAN;NAN;NAN;35.974;-9.711;292.88343750;-1.73958333;0.593661;2.93e-17;38.30;NAN;NAN;0.20;NAN;1.387;-0.234;0.803;7.394;NAN;fast_uwb;
2242;J1931+1439;NAN;NAN;NAN;56700.00;50.539;-2.005;292.91847083;14.66075000;1.779226;6.33e-15;243.00;NAN;NAN;0.08;NAN;6.123;-0.214;4.724;4.611;NAN;palfa;
2243;J1931+1536;NAN;NAN;NAN;51600.00;51.406;-1.599;292.98212500;15.61597222;0.314355;5.01e-15;140.00;NAN;1.20;0.36;NAN;4.011;-0.112;3.134;5.999;NAN;ar1,palfa;
2244;J1931+1952;NAN;NAN;NAN;53560.00;55.134;0.451;292.98276667;19.86986111;0.501123;1.01e-16;441.00;NAN;NAN;0.13;NAN;9.625;0.076;7.897;2.998;NAN;pksngp,palfa;
2245;J1931+30;NAN;NAN;NAN;49717.00;64.506;5.674;292.86666667;30.58333333;0.582126;NAN;56.00;NAN;NAN;NAN;NAN;3.974;0.393;3.569;6.798;NAN;ar4;
2246;J1932-01;NAN;NAN;NAN;NAN;36.604;-9.592;293.06250000;-1.13333333;0.593700;NAN;35.50;NAN;NAN;NAN;NAN;1.324;-0.221;0.778;7.452;NAN;misc;
2247;J1932+1059;94.090;42.990;2.770;57600.00;47.382;-3.885;293.05857083;10.99260556;0.226519;1.16e-15;3.18;0.00;303.00;28.70;NAN;0.310;-0.021;0.228;8.291;NAN;mol1,jb1,ar1,mol2,ar2,ar3,ar4,pksmb;
2248;J1932+1916;NAN;NAN;NAN;55214.00;54.661;0.083;293.08208333;19.27750000;0.208215;9.32e-14;NAN;NAN;NAN;0.00;NAN;NAN;0.000;0.000;8.500;GRS:3FGL_J1932.2+1916;FermiBlind;
2249;J1932+2020;NAN;NAN;NAN;49887.00;55.575;0.639;293.03343136;20.34622569;0.268217;4.22e-15;211.15;0.00;29.00;1.20;NAN;5.000;0.056;4.124;5.674;NAN;ar1,jb2,gb3,ar2,ar3,palfa;
2250;J1932+2220;NAN;NAN;NAN;51418.00;57.356;1.554;293.09475780;22.34763525;0.144470;5.76e-14;219.20;0.00;7.80;1.20;NAN;10.900;0.296;9.175;2.623;GRS:[sbc+19];ar1,gb3,ar2,ar3;
2251;J1932-3655;NAN;NAN;NAN;57600.00;2.072;-23.546;293.02553333;-36.91716111;0.571421;2.86e-16;59.88;NAN;9.00;0.70;NAN;6.724;-2.686;0.223;2.340;NAN;pks70,pkssw;
2252;J1933+0758;NAN;NAN;NAN;53048.00;44.845;-5.565;293.33086250;7.96861389;0.437454;2.18e-16;165.02;NAN;0.34;NAN;NAN;11.157;-1.082;7.831;0.627;NAN;ar4;
2253;J1933+1304;NAN;NAN;NAN;51600.00;49.351;-3.127;293.34387083;13.08054722;0.928324;3.18e-16;177.01;NAN;2.00;0.42;NAN;6.084;-0.332;4.609;4.543;NAN;ar1,ar3,pksmb;
2254;J1933+2421;NAN;NAN;NAN;50629.00;59.478;2.394;293.40763705;24.61100970;0.813690;8.11e-15;106.03;NAN;7.50;NAN;NAN;4.639;0.194;3.993;6.146;NAN;gb3,ar3,gb4,lotaas;
2255;J1933+5335;NAN;NAN;NAN;57546.00;85.591;15.765;293.25458333;53.59527778;2.052574;1.26e-15;33.54;NAN;NAN;NAN;NAN;2.515;0.683;2.413;8.314;NAN;lotaas;
2256;J1934+19;NAN;NAN;NAN;56657.00;54.609;-0.397;293.50000000;19.00000000;0.230990;NAN;97.60;NAN;NAN;0.10;NAN;3.112;-0.022;2.537;6.698;NAN;palfa;
2257;J1934+2352;NAN;NAN;NAN;54650.00;58.966;1.814;293.69245833;23.88219444;0.178432;1.31e-13;355.50;NAN;NAN;0.06;NAN;12.204;0.386;10.452;2.211;NAN;palfa;
2258;J1934+5219;NAN;NAN;NAN;56525.00;84.493;15.046;293.59950982;52.33265609;0.568442;8.40e-17;71.90;NAN;NAN;NAN;NAN;7.713;2.002;7.414;7.785;NAN;gbncc,lotaas;
2259;J1935+1159;NAN;NAN;NAN;53400.00;48.613;-4.059;293.81698333;11.98588889;1.939758;9.48e-16;188.76;NAN;1.00;0.17;NAN;8.421;-0.596;6.302;2.947;NAN;ar4;
2260;J1935+1616;1.130;-16.090;0.220;52275.00;52.436;-2.093;293.94927458;16.27777389;0.358738;6.00e-15;158.52;0.00;242.00;58.00;NAN;3.700;-0.135;2.931;6.246;NAN;jb1,ar1,mol2,gb3,ar2,ar3,ar4,gb4,pa;
2261;J1935+1745;NAN;NAN;NAN;51600.00;53.691;-1.313;293.87487500;17.75338889;0.654408;3.78e-16;214.60;0.00;1.30;0.16;NAN;4.850;-0.111;3.907;5.629;NAN;ar1,palfa;
2262;J1935+2025;NAN;NAN;NAN;53460.00;56.051;-0.053;293.92475417;20.42780556;0.080118;6.08e-14;182.00;NAN;NAN;0.50;NAN;4.598;-0.004;3.814;5.932;NAN;pksngp,palfa;
2263;J1935+2154;NAN;NAN;NAN;56866.00;57.247;0.819;293.73200000;21.89672222;3.244980;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;XRS:SGR_1935+2154,SNR:G57.2+0.8(?)[gae14;misc;
2264;J1936+1536;NAN;NAN;NAN;42830.50;51.879;-2.465;294.00633333;15.61000000;0.967338;4.04e-15;165.00;0.00;2.00;NAN;NAN;4.624;-0.199;3.634;5.648;NAN;ar1;
2265;J1936+20;NAN;NAN;NAN;56657.00;55.712;-0.323;294.00000000;20.00000000;1.390880;NAN;205.10;NAN;NAN;NAN;NAN;4.864;-0.027;4.019;5.760;NAN;palfa;
2266;J1936+21;NAN;NAN;NAN;53281.00;56.814;0.164;294.12083333;21.20000000;0.642932;NAN;264.00;NAN;NAN;NAN;NAN;8.139;0.023;6.812;4.045;NAN;pksngp,palfa;
2267;J1937-00;NAN;NAN;NAN;56453.00;37.943;-10.288;294.28750000;-0.28333333;0.240100;NAN;68.60;NAN;NAN;NAN;NAN;3.510;-0.627;2.124;5.776;NAN;ar327;
2268;J1937+1505;NAN;NAN;NAN;51969.00;51.569;-2.981;294.31795833;15.08861111;2.872774;5.61e-15;237.00;NAN;NAN;0.13;NAN;6.450;-0.335;5.046;4.496;NAN;pksmb;
2269;J1937+2544;-10.040;-13.060;0.320;49703.00;60.836;2.270;294.25522667;25.73706556;0.200980;6.43e-16;53.22;NAN;6.60;1.40;NAN;3.125;0.124;2.727;6.978;NAN;gb2,ar3,lotaas;
2270;J1937+2950;NAN;NAN;NAN;54250.00;64.504;4.115;294.44834583;29.83383333;1.657429;3.48e-15;113.99;NAN;NAN;0.08;NAN;7.477;0.536;6.731;5.290;NAN;misc;
2271;J1938+0650;NAN;NAN;NAN;51824.00;44.386;-7.101;294.47275000;6.83500000;1.121562;5.68e-15;70.80;NAN;3.20;NAN;NAN;2.832;-0.350;1.966;6.492;NAN;ar4,pkssw,lotaas;
2272;J1938+14;NAN;NAN;NAN;57022.00;51.352;-3.391;294.57916667;14.70000000;2.902510;NAN;74.20;NAN;NAN;NAN;NAN;2.544;-0.150;1.983;6.914;NAN;ar327,lotaas;
2273;J1938+2010;NAN;NAN;NAN;54940.00;56.115;-0.672;294.53475000;20.18102778;0.687082;3.40e-15;327.70;NAN;NAN;0.10;NAN;8.812;-0.103;7.315;3.587;NAN;palfa,pksngp;
2274;J1938+2213;NAN;NAN;NAN;53500.00;57.903;0.308;294.55908333;22.22018889;0.166116;4.24e-14;91.00;NAN;1.00;0.59;NAN;3.419;0.018;2.896;6.683;NAN;ar4,pksngp,palfa;
2275;J1939+10;NAN;NAN;NAN;49717.00;47.993;-5.497;294.79583333;10.75000000;2.310000;NAN;90.00;NAN;1.20;NAN;NAN;3.552;-0.340;2.627;6.134;NAN;misc;
2276;J1939+2134;0.070;-0.401;0.220;55000.00;57.509;-0.290;294.91067177;21.58309047;0.001558;1.05e-19;71.02;0.00;240.00;15.20;NAN;3.500;-0.018;2.952;6.620;NAN;ar2,ar3,ar4,palfa;
2277;J1939+2449;NAN;NAN;NAN;50679.00;60.174;1.361;294.77331993;24.71544632;0.645302;1.83e-14;142.88;NAN;3.00;NAN;NAN;7.115;0.169;6.171;4.962;NAN;ar2,ar3,palfa;
2278;J1940+0239;NAN;NAN;NAN;56413.00;40.945;-9.688;295.13750000;2.61138889;1.232240;NAN;87.20;NAN;NAN;NAN;NAN;5.292;-0.891;3.419;4.560;NAN;htru_pks;
2279;J1940+2245;NAN;NAN;NAN;56700.00;58.629;0.127;295.11518333;22.76295000;0.258912;1.27e-14;222.40;NAN;NAN;0.15;NAN;8.081;0.018;6.900;4.293;NAN;palfa;
2280;J1940+2337;NAN;NAN;NAN;54560.00;59.397;0.529;295.14785833;23.62958333;0.546824;7.68e-14;252.10;NAN;NAN;0.07;NAN;8.468;0.078;7.288;4.189;NAN;palfa;
2281;J1940-24;NAN;NAN;NAN;NAN;15.854;-20.883;295.00000000;-24.00000000;0.098200;NAN;53.40;NAN;NAN;NAN;NAN;3.905;-1.392;0.997;4.990;NAN;gbncc;
2282;J1940-2403;NAN;NAN;NAN;49000.00;15.848;-21.007;295.12500000;-24.05000000;1.855276;NAN;63.30;NAN;NAN;NAN;NAN;6.306;-2.261;1.608;2.837;NAN;pks70;
2283;J1941+0121;NAN;NAN;NAN;55026.00;39.909;-10.434;295.31682917;1.36097222;0.217317;1.91e-16;52.70;NAN;NAN;NAN;NAN;2.155;-0.390;1.360;6.874;NAN;gb350,lotaas;
2284;J1941+1026;NAN;NAN;NAN;49079.50;48.004;-6.153;295.38472500;10.44044444;0.905394;9.96e-16;138.91;NAN;1.80;NAN;NAN;7.971;-0.854;5.890;3.197;NAN;ar3;
2285;J1941+1341;NAN;NAN;NAN;53041.00;50.799;-4.468;295.27027917;13.69177778;0.559084;1.24e-15;147.90;NAN;NAN;0.17;NAN;5.459;-0.425;4.217;5.060;NAN;pksmb;
2286;J1941+2525;NAN;NAN;NAN;54920.00;61.037;1.263;295.33666667;25.41813889;2.306153;1.61e-13;314.40;NAN;NAN;0.24;NAN;11.168;0.246;9.769;3.093;NAN;palfa;
2287;J1941-2602;12.000;-10.000;NAN;50076.00;13.901;-21.824;295.25169583;-26.03493056;0.402858;9.56e-16;50.04;NAN;13.00;1.90;NAN;3.564;-1.325;0.795;5.288;NAN;mol2,pks70,pkssw;
2288;J1941+4320;NAN;NAN;NAN;56375.00;76.846;9.864;295.49548169;43.33509027;0.840906;1.15e-15;79.36;NAN;NAN;NAN;NAN;6.514;1.116;6.249;7.039;NAN;gbncc,lotaas;
2289;J1942+0147;NAN;NAN;NAN;56582.00;40.477;-10.472;295.61250000;1.83638889;1.405040;NAN;133.30;NAN;NAN;NAN;NAN;25.000;-4.544;15.958;-10.200;NAN;ar327,htru_pks;
2290;J1942+1743;NAN;NAN;NAN;51600.00;54.427;-2.680;295.50429167;17.72452778;0.696262;1.01e-16;190.00;NAN;2.80;NAN;NAN;4.915;-0.230;3.993;5.644;NAN;ar1,ar3;
2291;J1942+8106;NAN;NAN;NAN;56500.00;113.371;24.825;295.72783363;81.10481316;0.203558;3.69e-17;40.24;NAN;NAN;NAN;NAN;3.478;1.460;2.898;9.752;NAN;gbncc,lotaas;
2292;J1943+0609;NAN;NAN;NAN;51650.00;44.465;-8.641;295.87138333;6.16600000;0.446226;4.66e-16;70.76;NAN;NAN;0.70;NAN;3.269;-0.491;2.264;6.193;NAN;pkssw,ar4,lotaas;
2293;J1943-1237;NAN;NAN;NAN;48717.00;27.255;-17.158;295.85617215;-12.62844944;0.972429;1.66e-15;28.92;0.00;12.90;1.20;NAN;1.204;-0.355;0.527;7.477;NAN;mol2,gb2,pks70,pkssw;
2294;J1944+0907;14.067;-22.733;0.500;56570.00;47.160;-7.357;296.03887882;9.12305734;0.005185;1.73e-20;24.36;NAN;3.90;2.60;NAN;1.218;-0.156;0.886;7.679;NAN;ar4;
2295;J1944-10;NAN;NAN;NAN;56657.00;29.535;-16.289;296.00000000;-10.28333333;0.409135;NAN;31.01;NAN;NAN;NAN;NAN;1.282;-0.360;0.607;7.429;NAN;gb350;
2296;J1944-1750;NAN;NAN;NAN;49905.00;22.314;-19.426;296.02183272;-17.83640601;0.841158;9.86e-16;56.32;NAN;7.50;0.30;NAN;4.121;-1.371;1.476;4.905;NAN;mol2,pks70,pkssw;
2297;J1944+1755;NAN;NAN;NAN;51600.00;54.902;-3.098;296.13250000;17.92844444;1.996899;7.30e-16;175.00;NAN;1.90;NAN;NAN;4.877;-0.264;3.984;5.700;NAN;ar1,ar4;
2298;J1944+2236;NAN;NAN;NAN;55415.00;58.900;-0.663;296.00446125;22.60628333;0.003618;7.46e-21;185.45;NAN;NAN;0.10;NAN;7.600;-0.088;6.507;4.575;NAN;palfa;
2299;J1945-0040;NAN;NAN;NAN;48103.00;38.565;-12.317;296.36832210;-0.68279835;1.045632;5.35e-16;59.71;NAN;6.00;0.80;NAN;3.164;-0.675;1.927;6.083;NAN;mol2,gb2,pks70,pkssw,lotaas;
2300;J1945+07;NAN;NAN;NAN;56042.00;45.750;-8.631;296.47916667;7.28333333;1.073900;NAN;62.00;NAN;NAN;NAN;NAN;2.575;-0.386;1.824;6.724;NAN;ar327,lotaas;
2301;J1945+1211;NAN;NAN;NAN;NAN;49.984;-6.075;296.29816667;12.19616667;4.756796;3.78e-15;92.70;NAN;NAN;0.63;NAN;3.771;-0.399;2.872;6.089;NAN;fast_uwb;
2302;J1945+1834;NAN;NAN;NAN;51600.00;55.588;-2.998;296.40041667;18.57225000;1.068708;2.42e-16;217.70;0.00;1.20;NAN;NAN;7.351;-0.384;6.056;4.351;NAN;ar1;
2303;J1946-1312;NAN;NAN;NAN;53000.00;27.079;-18.184;296.74095417;-13.21011111;0.491865;1.99e-15;60.00;NAN;NAN;0.30;NAN;4.465;-1.393;1.931;4.723;NAN;pkssw;
2304;J1946+14;NAN;NAN;NAN;57022.00;52.373;-5.191;296.71666667;14.70000000;2.282440;NAN;50.30;NAN;NAN;NAN;NAN;2.092;-0.189;1.650;7.228;NAN;ar327;
2305;J1946+1805;1.000;-9.000;NAN;48790.00;55.326;-3.500;296.72101667;18.09478889;0.440618;2.41e-17;16.14;0.00;40.00;10.00;NAN;0.300;-0.018;0.246;8.330;NAN;mol1,jb1,ar1,mol2,ar2,ar3,ar4,gb4,l;
2306;J1946+2244;NAN;NAN;NAN;42854.50;59.301;-1.070;296.60370833;22.74983333;1.334450;8.89e-16;140.00;0.00;3.00;0.17;NAN;5.951;-0.111;5.116;5.462;NAN;ar1,palfa;
2307;J1946+24;NAN;NAN;NAN;54466.00;60.306;-0.376;296.50000000;23.96666667;4.729000;NAN;96.00;NAN;NAN;NAN;NAN;4.296;-0.028;3.732;6.372;NAN;palfa;
2308;J1946+2535;NAN;NAN;NAN;54810.00;61.809;0.283;296.70458333;25.59763889;0.515167;5.64e-15;248.81;NAN;NAN;0.48;NAN;8.305;0.041;7.320;4.577;NAN;palfa;
2309;J1946+2611;NAN;NAN;NAN;49079.50;62.321;0.595;296.69087500;26.19700000;0.435060;2.20e-14;165.00;NAN;1.50;0.70;NAN;7.555;0.078;6.690;4.991;NAN;ar3,ar4,palfa;
2310;J1946-2913;19.000;-33.000;NAN;48736.00;11.108;-24.121;296.71555833;-29.22975000;0.959448;1.49e-15;44.31;NAN;9.30;0.50;NAN;3.125;-1.277;0.549;5.701;NAN;mol2,pks70,pkssw;
2311;J1947+0915;NAN;NAN;NAN;51650.00;47.713;-8.073;296.94258333;9.25222222;1.480744;4.78e-16;94.00;NAN;NAN;0.20;NAN;5.154;-0.724;3.775;5.067;NAN;pkssw;
2312;J1947+10;NAN;NAN;NAN;49717.00;48.995;-7.309;296.90000000;10.73333333;1.110944;NAN;149.00;NAN;NAN;NAN;NAN;10.851;-1.380;8.122;1.438;NAN;ar4;
2313;J1947-18;NAN;NAN;NAN;56485.00;21.541;-20.617;296.87916667;-18.97000000;0.002603;NAN;25.00;NAN;NAN;NAN;NAN;1.101;-0.388;0.378;7.541;NAN;htru_pks;
2314;J1947+1957;NAN;NAN;NAN;55190.00;56.987;-2.658;296.83097917;19.95233056;0.157509;5.23e-16;185.80;NAN;NAN;0.08;NAN;6.767;-0.314;5.668;4.817;NAN;palfa;
2315;J1947-4215;NAN;NAN;NAN;49000.00;357.183;-27.712;296.77500000;-42.25000000;1.798069;NAN;35.00;NAN;7.00;NAN;NAN;2.202;-1.024;-0.096;6.553;NAN;pks70;
2316;J1947-43;NAN;NAN;NAN;56657.00;356.350;-27.855;296.75000000;-43.00000000;0.180940;NAN;29.90;NAN;NAN;NAN;NAN;1.625;-0.759;-0.091;7.066;NAN;ghrss;
2317;J1948+2333;NAN;NAN;NAN;56050.00;60.214;-1.045;297.08048750;23.55089722;0.528352;1.36e-14;198.20;NAN;NAN;0.28;NAN;8.048;-0.147;6.984;4.503;NAN;palfa;
2318;J1948+2551;NAN;NAN;NAN;54930.00;62.207;0.131;297.07324583;25.86443056;0.196627;9.02e-15;289.27;NAN;NAN;0.62;NAN;8.698;0.020;7.695;4.444;NAN;palfa;
2319;J1948+3540;-12.600;0.700;NAN;49449.00;70.702;5.047;297.10419458;35.66973806;0.717311;7.06e-15;129.37;0.00;145.00;8.30;NAN;7.650;0.673;7.192;5.982;NAN;jb1,gb1,gb2,ar4,gb4,gbncc,lotaas;
2320;J1949+2306;NAN;NAN;NAN;54910.00;59.931;-1.423;297.28050000;23.11541667;1.319373;1.23e-16;196.30;NAN;NAN;0.10;NAN;8.106;-0.201;7.013;4.440;NAN;palfa;
2321;J1949-2524;NAN;NAN;NAN;48106.00;15.260;-23.380;297.35589428;-25.40027268;0.957617;3.27e-15;23.07;NAN;5.20;0.40;NAN;1.046;-0.415;0.253;7.574;NAN;mol2,pks70;
2322;J1949+3426;NAN;NAN;NAN;56921.00;69.720;4.288;297.30696250;34.44274722;0.388539;2.02e-16;228.20;0.00;NAN;NAN;NAN;12.347;0.923;11.549;4.232;NAN;gbncc;
2323;J1950+05;NAN;NAN;NAN;49717.00;44.857;-10.552;297.74166667;5.58333333;0.455934;NAN;71.00;NAN;NAN;NAN;NAN;3.939;-0.721;2.731;5.755;NAN;ar4;
2324;J1951+1123;NAN;NAN;NAN;49079.50;50.003;-7.738;297.78437500;11.39033333;5.094083;3.03e-15;31.29;NAN;1.20;NAN;NAN;1.513;-0.204;1.149;7.536;NAN;ar3,ar4;
2325;J1952+1410;NAN;NAN;NAN;50110.00;52.509;-6.576;298.02564690;14.12482869;0.275026;1.28e-16;31.51;NAN;6.00;NAN;NAN;1.586;-0.182;1.250;7.541;NAN;ar2,lotaas;
2326;J1952+30;NAN;NAN;NAN;NAN;66.184;1.529;298.00000000;30.00000000;1.665600;NAN;188.60;NAN;NAN;NAN;NAN;7.496;0.200;6.855;5.474;NAN;palfa,lotaas;
2327;J1952+3252;-28.800;-14.700;NAN;52793.00;68.765;2.823;298.24252500;32.87791944;0.039531;5.84e-15;45.01;0.00;7.00;1.00;NAN;3.000;0.148;2.793;7.415;SNR:CTB80,GRS:2FGL_J1953.0+3253[naa+12];misc,lotaas;
2328;J1953+1149;NAN;NAN;NAN;49079.50;50.714;-8.083;298.44779167;11.82850000;0.851890;2.86e-15;140.03;NAN;2.20;NAN;NAN;10.520;-1.479;8.062;1.905;NAN;ar3,ar4;
2329;J1953+2732;NAN;NAN;NAN;54570.00;64.205;0.059;298.28250000;27.54672222;1.333965;1.77e-15;195.40;NAN;NAN;0.10;NAN;7.595;0.008;6.838;5.195;NAN;palfa;
2330;J1953+30;NAN;NAN;NAN;NAN;66.570;1.306;298.45000000;30.21666667;1.271200;NAN;43.61;NAN;NAN;NAN;NAN;2.968;0.068;2.723;7.320;NAN;misc,lotaas;
2331;J1954+1021;NAN;NAN;NAN;57393.00;49.523;-8.995;298.65333333;10.35291667;2.099440;1.73e-15;80.87;NAN;NAN;NAN;NAN;4.280;-0.669;3.216;5.756;NAN;gbncc;
2332;J1954+2407;NAN;NAN;NAN;56700.00;61.367;-1.872;298.50155833;24.12055556;0.193405;1.06e-15;80.50;NAN;NAN;0.10;NAN;4.176;-0.136;3.663;6.500;NAN;palfa;
2333;J1954+2836;NAN;NAN;NAN;54800.00;65.244;0.377;298.57979167;28.60166667;0.092709;2.12e-14;NAN;NAN;NAN;NAN;NAN;1.960;0.013;1.780;7.679;GRS:2FGL_J1954.3+2836[naa+12];FermiBlind;
2334;J1954+2923;25.000;-36.000;NAN;48719.00;65.924;0.772;298.59397500;29.38813611;0.426677;1.71e-18;7.93;0.00;6.60;8.00;NAN;0.536;0.007;0.489;8.281;NAN;jb1,jb2,gb3,palfa,lotaas;
