#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);(s/s);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
31;J0048+3412;NAN;NAN;NAN;49875.00;122.255;-28.666;12.14160282;34.20223077;1.217094;2.35e-15;39.92;21.700;31.500;0.00;2.30;NAN;NAN;4.500;4.500;-2.159;3.339;10.607;NAN;gb2,gb3,lotaas;NAN;
32;J0050+03;NAN;NAN;NAN;57022.00;122.485;-59.071;12.62916667;3.80000000;1.366560;NAN;26.50;33.000;NAN;NAN;NAN;NAN;NAN;25.000;25.000;-21.445;10.839;15.401;NAN;ar327;NAN;
33;J0051+0423;NAN;NAN;NAN;49800.00;122.962;-58.491;12.87541667;4.38027778;0.354732;7.00e-18;13.93;11.000;34.000;NAN;3.00;0.50;NAN;1.250;1.250;-1.066;0.548;8.855;NAN;gb4,lotaas,gbncc;NAN;
34;J0052-72;NAN;NAN;NAN;58008.54;302.820;-45.045;13.11666667;-72.08333333;0.191444;NAN;158.60;NAN;NAN;NAN;NAN;0.04;NAN;60.261;60.261;-42.644;-35.781;-14.577;EXGAL:SMC;misc;NAN;
35;J0054+66;NAN;NAN;NAN;54100.00;123.193;3.130;13.50000000;66.00000000;1.390000;NAN;15.00;NAN;NAN;NAN;NAN;NAN;NAN;0.901;0.901;0.049;0.753;8.993;NAN;gbt350;RRAT;
36;J0054+69;NAN;NAN;NAN;NAN;123.200;6.563;13.61666667;69.43333333;NAN;NAN;90.30;NAN;NAN;NAN;NAN;NAN;NAN;2.347;2.347;0.268;1.951;9.777;NAN;gbncc;RRAT[kkl+15];
37;J0054+6946;NAN;NAN;NAN;56500.00;123.241;6.902;13.74631750;69.77134719;0.832911;7.19e-16;116.52;14.000;31.000;NAN;NAN;NAN;NAN;2.758;2.758;0.331;2.290;10.001;NAN;gbncc;NAN;
38;J0055+5117;10.470;-17.400;0.350;56000.00;123.621;-11.576;13.93915875;51.29016694;2.115171;9.54e-15;44.01;73.000;92.100;0.00;3.40;1.50;NAN;2.857;1.935;-0.573;2.331;10.050;NAN;gb2,lotaas;NAN;
39;J0056+4756;NAN;NAN;NAN;49872.00;123.796;-14.927;14.10630345;47.93626269;0.472037;3.33e-15;18.14;11.800;31.300;NAN;3.00;NAN;NAN;1.123;1.123;-0.289;0.902;9.104;NAN;gb2,lotaas;NAN;
40;J0057-7201;NAN;NAN;NAN;51213.00;302.244;-45.098;14.43333333;-72.02194444;0.738062;1.00e-16;27.00;NAN;NAN;NAN;NAN;NAN;NAN;3.476;3.476;-2.462;-2.075;7.191;NAN;misc;NAN;
41;J0058+4950;NAN;NAN;NAN;56500.00;124.045;-13.017;14.54162336;49.84055678;0.996023;8.04e-16;66.95;38.000;50.000;NAN;NAN;NAN;NAN;2.646;2.646;-0.596;2.136;9.943;NAN;gbncc;NAN;
42;J0058+6125;NAN;NAN;NAN;54100.00;123.717;-1.445;14.50000000;61.41666667;0.637000;NAN;128.30;7.800;17.000;NAN;NAN;NAN;NAN;2.597;2.597;-0.065;2.159;9.941;NAN;gbt350,gbncc;NAN;
43;J0058-7218;NAN;NAN;NAN;58924.00;302.199;-44.817;14.56958333;-72.30166667;0.021766;2.89e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;59.700;NAN;-42.079;-35.836;-14.066;EXGAL:SMC,XRS:PWN_IKT_16[met+21];misc;NRAD[met+21];
44;J0059+69;NAN;NAN;NAN;NAN;123.629;7.056;14.87500000;69.91666667;1.145900;NAN;63.53;12.000;60.000;NAN;NAN;NAN;NAN;2.048;2.048;0.252;1.692;9.626;NAN;lotaas,gbncc;NAN;
45;J0100-7211;NAN;NAN;NAN;53032.00;301.930;-44.918;15.17929167;-72.19266667;8.020392;1.88e-11;NAN;NAN;NAN;NAN;NAN;NAN;NAN;59.700;NAN;-42.153;-35.878;-13.859;EXGAL:SMC,XRS:CXOU_J010043.1-721134;misc;AXP,NRAD;
46;J0100+8023;NAN;NAN;NAN;56676.00;123.318;17.530;15.06704167;80.39493056;1.493601;3.54e-16;56.01;8.010;67.000;NAN;NAN;NAN;NAN;2.848;2.848;0.858;2.269;9.992;NAN;lotaas;NAN;
47;J0102+6537;9.240;1.770;0.400;56000.00;124.080;2.773;15.63746417;65.62039333;1.679164;5.95e-15;65.85;89.700;110.400;NAN;8.50;1.20;NAN;2.500;1.978;0.121;2.068;9.899;NAN;gb1,gb3,gbncc,lotaas;NAN;
