#;NAME;;PSRJ;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;RAJD;;DECJD;;P0;;;P1;;;DM;;;W50;;;W10;;;TAU_SC;;;S400;;;S1400;;;S2000;;;DIST;DIST_DM;;ZZ;XX;YY;ASSOC;;SURVEY;PSR;
;;;;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(deg);;(deg);;(s);;;;;;(cm^-3pc);;;(ms);;;(ms);;;(s);;;(mJy);;;(mJy);;;(mJy);;;(kpc);(kpc);;(kpc);(kpc);(kpc);;;;TYPE;
31;J0040-7337;cls+24;J0040-7337;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;59942.0;cab+24;303.968;-43.488;10.195;2.5e-03;-73.6186;6.9e-04;0.05988856188;1.5e-10;cab+24;3.4041E-14;4.0e-18;cab+24;101.79;4.0e-02;cab+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;58.717;58.717;ymw17;-40.409;-35.331;-15.302;EXGAL:SMC,SNR:DEM_S5[cls+24],PWN:DEM_S5[cab+24];0;meerkat_trapum;NAN;
32;J0043-73;tsm+19;J0043-73;tsm+19;NAN;0;*;NAN;0;*;NAN;0;*;59692.1;cab+24;303.748;-43.783;10.80504;1.2e-04;-73.33212;2.2e-05;0.937434382311;1.5e-11;cab+24;9.3288E-15;8.0e-19;cab+24;120.8;5.0e-01;cab+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.047;0;tsm+19;NAN;0;*;59.103;59.103;ymw17;-40.895;-35.480;-15.205;EXGAL:SMC;0;misc;NAN;
33;J0044-7314;cls+24;J0044-7314;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;59692.1;cab+24;303.581;-43.887;11.2373;5.0e-04;-73.23314;1.7e-04;0.396913450090;1.2e-11;cab+24;1.7619E-15;1.0e-18;cab+24;78.6;5.0e-01;cab+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;57.955;57.955;ymw17;-40.177;-34.798;-14.603;EXGAL:SMC;0;meerkat_trapum;NAN;
34;J0045-7042;mfl+06;J0045-7042;mfl+06;NAN;0;*;NAN;0;*;NAN;0;*;52407.00;*;303.652;-46.418;11.3570;7.1e-04;-70.7020;3.6e-04;0.63233580002;6.0e-11;mfl+06;2.49E-15;3.0e-17;mfl+06;71.3;3.0e-01;jpm+22;20;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.064;4.0e-03;jpm+22;NAN;0;*;59.700;58.576;ymw17;-43.246;-34.260;-14.307;EXGAL:SMC;0;misc;NAN;
35;B0045+33;dtws85;J0048+3412;dtws85;NAN;0;*;NAN;0;*;NAN;0;*;49875.0;hlk+04;122.255;-28.666;12.14160;8.9e-05;34.20223;1.0e-04;1.217094296058;8.0e-12;hlk+04;2.35454E-15;6.0e-20;hlk+04;39.92;0;dmo+24;18.4;0;dmo+24;33.9;0;dmo+24;1.9E-7;6.0e-08;kl07;2.3;3.0e-01;lylg95;NAN;0;*;NAN;0;*;4.500;4.500;ymw17;-2.159;3.339;10.607;NAN;0;gb2,ar327,gb3,lotaas;NAN;
36;J0048-7317;cls+24;J0048-7317;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;59860.0;cab+24;303.180;-43.831;12.2370;3.8e-04;-73.29611;1.1e-04;0.07931418413;4.0e-11;cab+24;3.30217E-14;7.0e-19;cab+24;292.42;7.0e-02;cab+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;100.000;100.000;ymw17;-69.253;-60.377;-30.979;EXGAL:SMC,PWN:[cfc+24];0;meerkat_trapum;NAN;
37;J0050+03;dsm+16;J0050+03;dsm+16;NAN;0;*;NAN;0;*;NAN;0;*;57022.00;*;122.485;-59.071;12.63;1.2e-01;3.80;1.3e-01;1.36656;0;dsm+16;NAN;0;*;26.5;0;whx+23;10.0;1.4e+00;whx+23;14.1;1.4e+00;whx+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-21.445;10.839;15.401;NAN;0;ar327,fast_gpps;NAN;
38;J0051+0423;snt97;J0051+0423;snt97;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;122.962;-58.491;12.8754;8.3e-04;4.3803;1.7e-03;0.354732;0;dmo+24;7.0E-18;2.0e-18;snt97;13.93;0;dmo+24;11.8;0;dmo+24;35.5;0;dmo+24;NAN;0;*;3;3.0e+00;snt97;0.50;1.0e-01;jk18;NAN;0;*;1.250;1.250;ymw17;-1.066;0.548;8.855;NAN;0;gb4,ar327,gbncc,lotaas;NAN;
39;J0052-72;tsm+19;J0052-72;tsm+19;NAN;0;*;NAN;0;*;NAN;0;*;59692.1;cab+24;302.917;-45.055;12.89387;7.1e-05;-72.07326;3.9e-05;0.191447064030;5.0e-12;cab+24;1.38281E-14;3.0e-19;cab+24;159.3;2.0e-01;cab+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.039;0;tsm+19;NAN;0;*;60.252;60.252;ymw17;-42.645;-35.730;-14.630;EXGAL:SMC;0;misc;NAN;
40;J0054+66;hrk+08;J0054+66;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;54100.00;*;123.193;3.130;13.50000;0;66.00000;0;1.39;0;hrk+08;NAN;0;*;15;0;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.901;0.901;ymw17;0.049;0.753;8.993;NAN;0;gbt350;RRAT;
