PSRJ,RAJD,RAJD_err,DECJD,DECJD_err,PMRA,PMRA_err,PMDEC,PMDEC_err,PX,PX_err,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,ANALYSIS_TYPE,P0,P0_err,P1,P1_err,DM,DM_err,DIST,DIST_DM,BSURF,ASSOC
,[deg],[deg],[deg],[deg],[mas/yr],[mas/yr],[mas/yr],[mas/yr],[mas],[mas],[MJD],(only if different from the ATNF),,,[s],[s],[s/s],[s/s],[cm^-3pc],[cm^-3pc],[kpc],[kpc],[G],
J1641+8049,250.3368257,1.4E-06,80.8313651,2.1E-07,-11,1,37,3,NAN,0,56425,,PSR,,0.002021179384682,9E-17,8.95E-21,9E-23,31.0896,3E-05,3.04,3.035,136000000,OPT:[lsk+18]
J1643-1224,250.90900773,1E-07,-12.4162991,5E-07,6.03,0.03,4.1,0.1,0.9,0.3,55330,Perera+ 2019,PSR,,0.004621641524936,2E-16,1.84617E-20,1.1E-24,62.4143,0,0.74,0.791,296000000,NAN
J1645-0317,251.2585025,4.2E-07,-3.2993942,5.6E-07,-1.011,0.027,20.523,0.176,0.252,0.235,46515,Deller+ 2019,PSR,,0.387689698034,7E-12,1.780431E-15,1.7E-20,35.7555,0.0008,3.85,1.326,841000000000,NAN
J1650-1654,252.613206,2.9E-06,-16.911745,5.6E-06,-15.07,0.05,-6.55,0.14,NAN,0,50862,,PSR,,1.7495517461,4E-11,3.2027E-15,4E-19,43.25,0.15,1.06,1.055,2400000000000,NAN
J1658-5324,254.6639316,3.8E-07,-53.4019453,2.8E-07,0.2,0.8,4.9,0.23,NAN,0,55520,,PSR,,0.002439295909796,3E-16,1.1154E-20,4E-24,30.81,0.03,0.88,0.88,167000000,GRS:3FGL_J1658.4-5323[aaa+15]
J1703-1846,255.9628813,8.3E-07,-18.7707903,1.7E-06,-0.73,0.08,16.92,0.19,0.35,0.05,49905,,PSR,,0.8043410792712,1.2E-12,1.731E-15,1E-20,49.551,0.015,2.86,1.686,1190000000000,NAN
J1705-1906,256.400416,1.3E-05,-19.11073,0.00011,-77,2,-52,17,NAN,0,48733,,PSR,,0.2989874273426,1.7E-12,4.137877E-15,1E-20,22.907,0.003,0.75,0.747,1130000000000,GRS:[hsg+14]
J1708-3426,257.24079,4.2E-05,-34.44556,0.00017,-31,9,123,45,NAN,0,54565,S.J.Dang+ 2020,PSR,T,0.692,0,NAN,0,188.7,17,NAN,4.724,NAN,NAN
J1708-3506,257.0734256,4.2E-07,-35.1062889,1.1E-06,-5.3,0.8,-2,3,NAN,0,55132.9,,PSR,,0.004505158948459,7E-16,1.1421E-20,1.1E-23,146.732,0.002,3.32,3.32,230000000,NAN
J1709-1640,257.360172,6.3E-06,-16.6827,4.4E-05,-2,1,47,10,NAN,0,46993,,PSR,,0.65305397126,4E-11,6.30985E-15,1.3E-19,24.891,0.001,0.56,0.562,2050000000000,NAN
