#;NAME;;PSRJ;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;RAJD;;DECJD;;P0;;;P1;;;DM;;;W50;;;W10;;;TAU_SC;;;S400;;;S1400;;;S2000;;;DIST;DIST_DM;;ZZ;XX;YY;ASSOC;;SURVEY;
;;;;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(deg);;(deg);;(s);;;;;;(cm^-3pc);;;(ms);;;(ms);;;(s);;;(mJy);;;(mJy);;;(mJy);;;(kpc);(kpc);;(kpc);(kpc);(kpc);;;;
54;B0059+65;dbtb82;J0102+6537;dbtb82;9.24;7.0e-02;dgb+19;1.77;1.5e-01;dgb+19;0.40;4.0e-02;dgb+19;56000.0;dgb+19;124.080;2.773;15.6374642;4.2e-07;65.6203933;2.8e-07;1.679164229064;1.2e-11;hlk+04;5.95492E-15;9.0e-20;hlk+04;65.853;1.6e-02;hlk+04;89.7;0;lylg95;110.4;0;lylg95;NAN;0;*;8.5;8.0e-01;lylg95;1.2;2.0e-01;lylg95;NAN;0;*;2.500;1.977;ymw17;0.121;2.068;9.899;NAN;*;gb1,gb3,gbncc,lotaas;
55;J0103+54;kkl+15;J0103+54;kkl+15;NAN;0;*;NAN;0;*;NAN;0;*;56657.00;*;124.741;-8.796;15.90;8.3e-02;54.03;8.3e-02;0.354304;6.0e-06;kkl+15;NAN;0;*;54.8;0;whx+23;6.2;7.0e-01;whx+23;13;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.998;1.998;ymw17;-0.306;1.623;9.625;NAN;*;gbncc,fast_gpps;
56;J0104+64;mss+20;J0104+64;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;124.308;1.162;16.00000;0;64.00000;0;1.386;0;mss+20;NAN;0;*;44.6;3.0e-01;mss+20;45;0;mss+20;82;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.711;1.711;ymw17;0.035;1.413;9.464;NAN;*;gbncc;
57;J0105-7208;cls+24;J0105-7208;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;301.396;-44.938;16.407;5.4e-03;-72.1482;6.4e-04;306.7e-3;0;cls+24;NAN;0;*;120;0;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;59.953;59.953;ymw17;-42.347;-36.225;-13.609;EXGAL:SMC[cls+24];*;meerkat_trapum;
58;J0106+4855;pga+12;J0106+4855;pga+12;NAN;0;*;NAN;0;*;NAN;0;*;55225.00;*;125.465;-13.867;16.60442;4.2e-05;48.93106;5.6e-05;0.0831573050050;6.0e-13;pga+12;4.2792E-16;5.0e-20;pga+12;70.9;2.0e-01;pga+12;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.008;0;pga+12;NAN;0;*;3.063;3.063;ymw17;-0.734;2.422;10.225;GRS:4FGL_J0106.4+4855[aab+22];*;FermiBlind;
59;J0107+1322;scb+19;J0107+1322;scb+19;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;128.991;-49.305;16.91646;8.3e-05;13.3755;2.2e-04;1.197383;0;dmo+24;6.87E-16;3.0e-18;tbc+20;21.67;0;dmo+24;26.9;7.0e-01;dmo+24;44.4;7.0e-01;dmo+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.349;2.349;ymw17;-1.781;1.190;9.464;NAN;*;lotaas,ar327,fast_gpps;
60;B0105+65;dls72;J0108+6608;dls72;-32.75;3.0e-02;dgb+19;35.15;4.0e-02;dgb+19;0.47;3.0e-02;dgb+19;56000.0;dgb+19;124.646;3.328;17.0937704;1.3e-06;66.1429164;2.8e-07;1.2836598429;5.0e-10;hlk+04;1.3051E-14;3.0e-18;hlk+04;30.5482;1.4e-03;bkk+16;22.5;0;lylg95;54.9;0;lylg95;1.6E-7;6.0e-08;kl07;10.0;1.0e+00;lylg95;0.9;2.0e-01;lylg95;NAN;0;*;2.140;1.461;ymw17;0.124;1.758;9.715;NAN;*;jb1,gb1,gb2,lotaas;
61;B0105+68;dtws85;J0108+6905;dtws85;NAN;0;*;NAN;0;*;NAN;0;*;49875.0;hlk+04;124.461;6.277;17.12293;8.2e-05;69.09795;3.0e-05;1.071118109859;5.0e-12;hlk+04;4.809E-17;4.0e-20;hlk+04;61.062;4.0e-03;bkk+16;12;0;mss+20;65;0;mss+20;NAN;0;*;3.7;4.0e-01;lylg95;0.4;0;lylg95;NAN;0;*;1.981;1.981;ymw17;0.217;1.624;9.614;NAN;*;gb2,gbncc,lotaas;
62;J0108-1431;tnj+94;J0108-1431;tnj+94;75;3.0e+00;dtbr09;-152.5;1.7e+00;dtbr09;4.2;1.4e+00;dtbr09;54100.0;dtbr09;140.930;-76.815;17.0347792;3.7e-07;-14.5306075;3.1e-07;0.807564614019;2.0e-11;hlk+04;7.704E-17;1.2e-19;hlk+04;2.38;1.9e-01;hlk+04;30;0;pkj+21;61;0;pkj+21;NAN;0;*;9;0;mld+96;1.4;3.0e-01;jk18;NAN;0;*;0.210;0.232;ymw17;-0.204;0.030;8.537;NAN;*;pks70;
63;J0109+11;tkt22;J0109+11;tkt22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;129.793;-51.104;17.2;1.0e+00;11.5;2.5e-01;0.4327;0;tkt22;NAN;0;*;17;2.0e+00;tkt22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.566;1.566;ymw17;-1.219;0.756;9.129;NAN;*;pumps;
64;J0110-22;mss+20;J0110-22;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;163.377;-83.360;17.50000;0;-22.00000;0;1.262;0;mss+20;NAN;0;*;20.8;3.0e-01;mss+20;43;0;mss+20;64;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-24.832;0.827;11.270;NAN;*;gbncc;
65;J0110-2223;msk+24;J0110-2223;msk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;166.071;-83.626;17.56943;1.2e-04;-22.39953;1.2e-04;1.26195969349;4.0e-11;msk+24;6.2E-16;4.0e-17;msk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;NAN;*;-0.000;0.000;8.500;NAN;*;gbncc;
66;J0111+6624;slr+14;J0111+6624;slr+14;NAN;0;*;NAN;0;*;NAN;0;*;56500.00;*;124.928;3.609;17.8412;5.0e-04;66.40300;1.7e-04;4.3018721008;4.0e-10;lsk+18;8.36E-15;1.7e-16;lsk+18;111.20;3.0e-02;lsk+18;33;0;mss+20;87;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.412;2.412;ymw17;0.152;1.974;9.878;NAN;*;gbncc,misc;
67;J0111-7131;mfl+06;J0111-7131;mfl+06;NAN;0;*;NAN;0;*;NAN;0;*;52369.00;*;300.669;-45.510;17.8699;3.8e-04;-71.52967;1.7e-04;0.68854151164;5.0e-11;mfl+06;7.092E-15;4.0e-18;mfl+06;79.4;5.0e-01;jpm+22;15;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.044;4.0e-03;jpm+22;NAN;0;*;59.700;59.325;ymw17;-42.589;-35.985;-12.840;EXGAL:SMC;*;misc;
68;J0113-7220;ckm+01;J0113-7220;ckm+01;NAN;0;*;NAN;0;*;NAN;0;*;51212.00;*;300.615;-44.688;18.29621;1.2e-04;-72.34228;4.2e-05;0.325883016130;1.0e-11;ckm+01;4.8590E-15;1.5e-18;ckm+01;125.49;2.0e-02;jpm+22;4.5;0;pkj+21;12;0;pkj+21;NAN;0;*;NAN;0;*;0.189;8.0e-03;jpm+22;NAN;0;*;59.700;60.998;ymw17;-41.984;-36.527;-13.115;EXGAL:SMC;*;misc;
69;J0115+6325;scb+19;J0115+6325;scb+19;NAN;0;*;NAN;0;*;NAN;0;*;57876;mbc+20;125.648;0.687;18.94112;4.2e-05;63.43078;2.8e-05;0.521455427473;5.0e-12;mbc+20;1.599E-15;3.0e-18;mbc+20;65.069;4.0e-03;mbc+20;22.0;1.0e+00;mbc+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.931;1.931;ymw17;0.023;1.569;9.625;NAN;*;lotaas;
70;B0114+58;stwd85;J0117+5914;stwd85;-3;5.3e+00;*;18;5.7e+00;*;NAN;0;*;49751.0;hlk+04;126.283;-3.457;19.411088;1.1e-05;59.243997;6.4e-06;0.1014390664824;2.0e-12;hlk+04;5.849955E-15;1.7e-20;hlk+04;49.4207;6.0e-04;bkk+16;4.1;0;lylg95;8.3;0;lylg95;9.4E-7;1.9e-07;kl07;7.6;6.0e-01;lylg95;0.3;0;lylg95;NAN;0;*;1.768;1.768;ymw17;-0.107;1.423;9.544;XRS:[pb15],GRS:[saa+23];*;gb3,FermiAssoc,gbncc,lotaas;
71;J0120+1837;msk+24;J0120+1837;msk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;132.376;-43.711;20.050088;1.7e-05;18.63253;3.7e-05;1.313385299555;4.0e-12;msk+24;1.36E-17;4.0e-19;msk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;NAN;*;-0.000;0.000;8.500;NAN;*;gbncc;
72;J0121+53;gac+21;J0121+53;gac+21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;127.378;-9.133;20;2.8e+00;53.5;2.7e-01;2.7247846;4.0e-07;gac+21;NAN;0;*;91.38;3.0e-02;gac+21;20;5.0e+00;gac+21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.644;2.644;ymw17;-0.420;2.074;10.085;NAN;*;chime;
73;J0122+1416;ttk+17;J0122+1416;ttk+17;NAN;0;*;NAN;0;*;NAN;0;*;57876;mbc+20;134.030;-47.940;20.50546;1.2e-04;14.2714;2.8e-04;1.388994;0;dmo+24;3.8030E-15;1.0e-18;mbc+20;17.69;0;dmo+24;21.7;7.0e-01;dmo+24;43.4;0;dmo+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.583;1.583;ymw17;-1.175;0.762;9.237;NAN;*;misc,ar327,gbncc,lotaas,fast_gpps;
74;J0125+62;slr+14;J0125+62;slr+14;NAN;0;*;NAN;0;*;NAN;0;*;56292.00;*;126.899;-0.022;21.5;7.5e-01;62.6;3.0e-01;1.70823;1.0e-04;slr+14;NAN;0;*;118.0;5.0e-01;mss+20;17;0;mss+20;61;0;mss+20;NAN;0;*;3.4;0;slr+14;NAN;0;*;NAN;0;*;2.403;2.403;ymw17;-0.001;1.922;9.943;NAN;*;gbncc;
75;J0129+36;ttk+24;J0129+36;ttk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;131.492;-26.155;22.37500;0;36.08;1.7e-01;1.089;5.0e-03;ttk+24;NAN;0;*;54;2.0e+00;ttk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-11.020;16.809;23.367;NAN;*;pumps;
76;J0131-7310;mfl+06;J0131-7310;mfl+06;NAN;0;*;NAN;0;*;NAN;0;*;52335.00;*;298.944;-43.648;22.86879;1.2e-04;-73.16926;3.6e-05;0.348124045581;7.0e-12;mfl+06;1.7614E-15;7.0e-19;mfl+06;205.22;6.0e-02;jpm+22;4.4;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.059;4.0e-03;jpm+22;NAN;0;*;59.700;100.000;ymw17;-41.206;-37.803;-12.406;EXGAL:SMC;*;misc;
77;J0133-6957;lml+98;J0133-6957;lml+98;NAN;0;*;NAN;0;*;NAN;0;*;49980.20;*;297.691;-46.739;23.38525;4.2e-05;-69.958244;8.3e-06;0.463473741703;3.0e-12;dsb+98;1.200E-16;2.0e-19;dsb+98;22.948;8.0e-03;dsb+98;4.5;0;pkj+21;18.0;1.0e+00;dsb+98;NAN;0;*;5;0;lml+98;0.180;1.0e-02;jpm+22;NAN;0;*;2.441;2.441;ymw17;-1.778;-1.481;7.723;NAN;*;pks70;
78;J0134-2937;mld+96;J0134-2937;mld+96;17.0;1.0e+00;jbv+19;-9;2.0e+00;jbv+19;NAN;0;*;54428;lwy+16;230.251;-80.250;23.5778433;1.3e-06;-29.6214006;1.9e-06;0.136961610513651;1.4e-14;lwy+16;7.83699E-17;3.0e-22;lwy+16;21.806;6.0e-03;hlk+04;2.5;0;pkj+21;7.1;0;pkj+21;NAN;0;*;9;0;mld+96;3.9;8.0e-01;jk18;NAN;0;*;25.000;25.000;ymw17;-24.639;-3.255;11.207;NAN;*;pks70;
79;J0137+1654;lxf+05;J0137+1654;lxf+05;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;138.449;-44.571;24.34950;4.2e-05;16.91169;1.1e-04;0.414763;0;dmo+24;1.223E-17;3.0e-20;lxf+05;26.08;0;dmo+24;9.5;0;dmo+24;31.6;0;dmo+24;NAN;0;*;1.4;0;lxf+05;NAN;0;*;NAN;0;*;3.059;3.059;ymw17;-2.147;1.445;10.131;NAN;*;ar4,ar327,lotaas;
80;J0137+6349;slr+14;J0137+6349;slr+14;NAN;0;*;NAN;0;*;NAN;0;*;56500.00;*;127.955;1.402;24.30569;7.3e-05;63.82621;3.1e-05;0.717962726847;6.0e-12;lsk+18;9.60E-16;5.0e-18;lsk+18;285.50;6.0e-02;lsk+18;25;0;mss+20;58;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;9.097;9.097;ymw17;0.223;7.171;14.093;NAN;*;gbncc;
81;J0139+3336;ttm+18;J0139+3336;ttm+18;NAN;0;*;NAN;0;*;NAN;0;*;57901;mbc+20;134.381;-28.174;24.98846;1.7e-04;33.6166;2.5e-04;1.24796095570;1.0e-10;mbc+20;2.064E-15;8.0e-18;mbc+20;21.2;0;whx+23;5.3;7.0e-01;whx+23;8.7;7.0e-01;whx+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.470;1.470;ymw17;-0.694;0.926;9.406;NAN;*;misc,lotaas,fast_gpps;
82;J0139+5621;cvh+14;J0139+5621;cvh+14;NAN;0;*;NAN;0;*;NAN;0;*;56000.00;*;129.609;-5.885;24.91067;8.3e-05;56.36022;1.1e-04;1.77534382596;1.0e-10;cvh+14;7.9096E-14;3.0e-18;cvh+14;101.84;4.0e-02;cvh+14;36;0;mss+20;63;0;mss+20;NAN;0;*;0.7;3.0e-01;cvh+14;0.020;1.0e-02;cvh+14;NAN;0;*;2.410;2.410;ymw17;-0.247;1.847;10.028;NAN;*;misc,gbncc,lotaas;
83;B0136+57;dth78;J0139+5814;dth78;-19.11;7.0e-02;cbv+09;-16.60;7.0e-02;cbv+09;0.37;4.0e-02;cbv+09;52275;cbv+09;129.216;-4.044;24.832250;5.0e-06;58.242172;4.7e-06;0.272450630949;1.5e-11;hlk+04;1.071167E-14;1.2e-19;hlk+04;73.8114;8.0e-04;bkk+16;5.2;0;lylg95;9.6;0;lylg95;1.1E-6;3.0e-07;kl07;28;2.0e+00;lylg95;4.6;4.0e-01;lylg95;NAN;0;*;2.600;2.006;ymw17;-0.183;2.009;10.140;GRS:[saa+23];*;gb1,FermiAssoc,gb2,gb3,gb4,gbncc,lotaas,misc;
84;B0138+59;mth72;J0141+6009;mth72;NAN;0;*;NAN;0;*;NAN;0;*;49293.0;hlk+04;129.147;-2.105;25.41640;3.2e-05;60.158974;1.9e-05;1.2229485205457;1.8e-12;hlk+04;3.91070E-16;1.4e-20;hlk+04;34.926;4.0e-03;srb+15;34.9;0;lylg95;104.2;0;lylg95;2.5E-7;1.3e-07;kl07;49;5.0e+00;lylg95;4.5;9.0e-01;lylg95;NAN;0;*;2.300;1.498;ymw17;-0.084;1.783;9.951;NAN;*;misc,gb3,gb4,gbncc,lotaas;
85;J0141+63;slr+14;J0141+63;slr+14;NAN;0;*;NAN;0;*;NAN;0;*;56292.00;*;128.497;0.798;25.2;5.0e-01;63.13;1.3e-01;0.0466859;5.0e-07;slr+14;NAN;0;*;272.80;2.0e-02;mss+20;2.2;0;mss+20;4.9;0;mss+20;NAN;0;*;1.3;0;slr+14;NAN;0;*;NAN;0;*;8.774;8.774;ymw17;0.122;6.866;13.961;NAN;*;gbncc;
86;J0141+6303;flm+23;J0141+6303;flm+23;NAN;0;*;NAN;0;*;NAN;0;*;57431;flm+23;128.595;0.747;25.4406647;9.6e-07;63.0637351;4.7e-07;0.04668027530771;3.0e-14;msk+24;1.6462E-18;3.0e-22;msk+24;272.762;2.0e-03;flm+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;8.788;8.788;ymw17;0.115;6.868;13.982;NAN;*;misc,gbncc;
87;J0146+31;ttol16;J0146+31;ttol16;NAN;0;*;NAN;0;*;NAN;0;*;57022.00;*;136.532;-30.353;26.56;1.7e-01;31.07;1.7e-01;0.9381;0;ttol16;NAN;0;*;25.0;0;whx+23;4.9;7.0e-01;whx+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.825;1.825;ymw17;-0.922;1.083;9.643;NAN;*;misc,fast_gpps;
88;J0146+6145;ims94;J0146+6145;ims94;-4.1;1.0e+00;tck13;1.9;1.0e+00;tck13;NAN;0;*;49031;pkw+03;129.384;-0.431;26.5934;4.2e-04;61.75078;1.9e-04;8.6889941;4.0e-07;dk14;1.99E-12;5.0e-14;dk14;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;3.600;NAN;*;-0.027;2.782;10.784;XRS:4U_0142+61;*;misc;
89;B0144+59;stwd85;J0147+5922;stwd85;-6.39;9.0e-02;dgb+19;3.80;8.0e-02;dgb+19;0.47;7.0e-02;dgb+19;56000.0;dgb+19;130.059;-2.723;26.9360142;4.2e-07;59.3675789;2.8e-07;0.19632137543003;1.6e-13;ywml10;2.56763E-16;8.0e-21;ywml10;40.111;3.0e-03;hlk+04;7.0;0;lylg95;10.1;0;lylg95;2.0E-7;9.0e-08;kl07;6.6;5.0e-01;lylg95;2.1;3.0e-01;lylg95;NAN;0;*;1.900;1.578;ymw17;-0.090;1.453;9.721;NAN;*;gb3,lotaas;
90;J0149+29;ttk+24;J0149+29;ttk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;137.766;-32.042;27.25000;0;29.2;2.5e-01;2.654;1.0e-02;ttk+24;NAN;0;*;35;2.0e+00;ttk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;3.256;3.256;ymw17;-1.727;1.855;10.544;NAN;*;pumps;
91;B0148-06;mlt+78;J0151-0635;mlt+78;10.70;1.0e-01;dgb+19;-5.38;7.0e-02;dgb+19;0.23;9.0e-02;dgb+19;56000.0;dgb+19;160.368;-65.004;27.8446579;8.3e-07;-6.5841631;5.6e-07;1.464664549334;7.0e-12;hlk+04;4.4259E-16;5.0e-20;hlk+04;25.66;3.0e-02;hlk+04;122;0;pkj+21;149;0;pkj+21;NAN;0;*;38;1.5e+01;lylg95;1.6;3.0e-01;jk18;NAN;0;*;25.000;25.000;ymw17;-22.658;3.549;18.450;NAN;*;mol2,pks70;
92;J0152+0948;clm+05;J0152+0948;clm+05;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;146.812;-50.221;28.0989;2.1e-04;9.8028;5.6e-04;2.746647;0;dmo+24;1.700E-15;4.0e-18;clm+05;22.88;0;dmo+24;38.9;0;dmo+24;123.4;0;dmo+24;NAN;0;*;0.91;3.0e-02;clm+05;NAN;0;*;NAN;0;*;2.476;2.476;ymw17;-1.903;0.867;9.826;NAN;*;ar4,ar327;
93;B0149-16;mlt+78;J0152-1637;mlt+78;0.8;2.0e-01;dgb+19;-31.3;4.0e-01;dgb+19;0.5;2.0e-01;dgb+19;56000.0;dgb+19;179.306;-72.457;28.0452246;4.2e-07;-16.6315669;5.6e-07;0.8327416126878;1.3e-12;hlk+04;1.299202E-15;6.0e-21;hlk+04;11.92577;4.0e-05;srb+15;16;0;pkj+21;24;0;pkj+21;NAN;0;*;20;4.0e+00;lylg95;2.1;4.0e-01;jk18;NAN;0;*;0.920;0.920;ymw17;-0.877;0.003;8.777;NAN;*;mol2,pks70;
94;J0154+1833;mgf+19;J0154+1833;mgf+19;10.3;9.0e-01;mgf+19;-8.9;1.9e+00;mgf+19;NAN;0;*;56900.00;*;143.185;-41.810;28.65367804;1.3e-07;18.564099;2.5e-06;0.0023645697763006;5.0e-16;mgf+19;2.919E-21;1.2e-23;mgf+19;19.8;0;dmo+24;0.2;0;dmo+24;0.3;0;dmo+24;NAN;0;*;NAN;0;*;0.11;2.0e-02;sbm+22;NAN;0;*;1.623;1.623;ymw17;-1.082;0.725;9.468;GRS:[saa+23];*;ar327,FermiAssoc;
95;J0156+04;dsm+16;J0156+04;dsm+16;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;151.975;-55.155;29.00;1.2e-01;4.03;1.3e-01;NAN;0;*;NAN;0;*;27.5;0;dsm+16;3.8;0;dsm+16;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-20.517;6.711;21.109;NAN;*;ar327;
96;B0153+39;dtws85;J0156+3949;dtws85;NAN;0;*;NAN;0;*;NAN;0;*;49701.0;hlk+04;136.369;-21.332;29.2302;8.9e-04;39.8246;1.1e-03;1.81156061131;1.0e-10;hlk+04;1.516E-16;1.0e-18;hlk+04;59.833;1.1e-02;bkk+16;99;0;mss+20;160;0;mss+20;NAN;0;*;4.0;1.0e+00;lylg95;NAN;0;*;NAN;0;*;4.920;4.920;ymw17;-1.790;3.162;11.817;NAN;*;gb2,gbncc,lotaas;
97;B0154+61;dls72;J0157+6212;dls72;1.57;6.0e-02;dgb+19;44.80;4.0e-02;dgb+19;0.56;3.0e-02;dgb+19;56000.0;dgb+19;130.586;0.326;29.4580975;4.2e-07;62.2074022;2.8e-07;2.35174493646;7.0e-11;hlk+04;1.889254E-13;5.0e-19;hlk+04;30.21;3.0e-02;hlk+04;33.4;0;lylg95;118.9;0;lylg95;2.0E-7;1.1e-07;kl07;6.5;8.0e-01;lylg95;1.9;3.0e-01;lylg95;NAN;0;*;1.820;1.385;ymw17;0.010;1.382;9.684;NAN;*;jb1,gb3,gbncc,lotaas;
98;J0158+21;dsm+13;J0158+21;dsm+13;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;143.208;-39.084;29.62;1.3e-01;21.13;1.3e-01;0.5053;0;dmo+24;NAN;0;*;20.0;0;dmo+24;19.0;0;dmo+24;34.8;0;dmo+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.568;1.568;ymw17;-0.989;0.729;9.475;NAN;*;ar327,lotaas;
99;J0201+7005;kkl+15;J0201+7005;kkl+15;NAN;0;*;NAN;0;*;NAN;0;*;56777.00;*;128.889;8.033;30.42227;2.9e-05;70.088364;1.7e-05;1.349184471846;1.0e-11;kkl+15;5.5144E-15;1.5e-18;kkl+15;21.029;2.0e-03;kkl+15;11;0;mss+20;49;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.172;1.172;ymw17;0.164;0.903;9.229;NAN;*;gbncc,lotaas;
100;J0205+6449;mss+02;J0205+6449;mss+02;-1.40;1.6e-01;bkr+13;0.54;1.6e-01;bkr+13;NAN;0;*;55487;bkr+13;130.719;3.084;31.4080103;6.3e-07;64.8281484;2.8e-07;0.06571592849324;9.0e-14;lrc+09;1.93754256E-13;4.0e-21;lrc+09;140.7;3.0e-01;csl+02;2.3;3.0e-01;csl+02;NAN;0;*;NAN;0;*;NAN;0;*;0.045;0;csl+02;NAN;0;*;3.200;2.784;ymw17;0.172;2.422;10.585;GRS:4FGL_J0205.7+6449[aab+22],SNR:3C58[bie06],PWN:3C58[bie06];*;misc,FermiBlind;
101;B0203-40;mlt+78;J0206-4028;mlt+78;9;4.0e+00;jbv+19;26;5.0e+00;jbv+19;NAN;0;*;57600;jbv+19;258.595;-69.633;31.50539;2.1e-05;-40.467672;1.9e-05;0.630551259569;4.0e-12;jbv+19;1.1966E-15;3.0e-19;jbv+19;12.9;1.2e+00;nmc81;6.2;0;pkj+21;19;0;pkj+21;NAN;0;*;11;0;tml93;0.80;1.0e-01;jk18;NAN;0;*;1.260;1.260;ymw17;-1.181;-0.430;8.587;NAN;*;mol2,pks70;
102;J0209+4331;crafts23;J0209+4331;crafts23;NAN;0;*;NAN;0;*;NAN;0;*;59148;wyw+23;137.686;-17.094;32.473221;1.7e-05;43.518319;1.1e-05;0.863882616200;3.0e-12;wyw+23;5.72E-17;6.0e-19;wyw+23;57.29;3.0e-02;wyw+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.0140;1.0e-03;wyw+23;NAN;0;*;2.531;2.531;ymw17;-0.744;1.629;10.289;NAN;*;fast_crafts;
103;J0209+5759;gac+21;J0209+5759;gac+21;NAN;0;*;NAN;0;*;NAN;0;*;58790.00;*;133.162;-3.314;32.40543;6.7e-05;57.99592;5.0e-05;1.063906282526;1.4e-11;gac+21;1.39190E-14;1.4e-18;gac+21;55.282;0;gac+21;20;2.0e+00;gac+21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.743;1.743;ymw17;-0.101;1.269;9.690;NAN;*;chime;
104;J0211+4235;crafts23;J0211+4235;crafts23;NAN;0;*;NAN;0;*;NAN;0;*;59424;wyw+23;138.214;-17.905;32.777588;8.3e-06;42.590128;8.3e-06;0.3507309921413;4.0e-13;wyw+23;1.11E-18;1.3e-19;wyw+23;49.700;1.0e-02;wyw+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.109;1.8e-02;wyw+23;NAN;0;*;2.240;2.240;ymw17;-0.689;1.420;10.089;NAN;*;fast_crafts;
105;J0211-8159;lml+98;J0211-8159;lml+98;NAN;0;*;NAN;0;*;NAN;0;*;49525.14;*;299.592;-34.606;32.9958;1.3e-03;-81.99339;8.3e-05;1.0773327013;8.0e-10;dsb+98;2.9E-16;2.0e-17;dsb+98;24.36;3.0e-02;dsb+98;42;0;pkj+21;129;0;pkj+21;NAN;0;*;6;0;lml+98;0.30;1.0e-01;jk18;NAN;0;*;1.523;1.523;ymw17;-0.865;-1.090;7.881;NAN;*;pks70;
106;J0212+5222;bck+13;J0212+5222;bck+13;NAN;0;*;NAN;0;*;NAN;0;*;56500.00;*;135.331;-8.520;33.21724;2.5e-05;52.380417;1.1e-05;0.3763863640606;1.5e-12;lsk+18;6.5993E-15;1.3e-18;lsk+18;38.21;3.0e-02;lsk+18;13;0;mss+20;20;0;mss+20;NAN;0;*;4.1;0;slr+14;0.9;4.0e-01;bck+13;NAN;0;*;1.558;1.558;ymw17;-0.231;1.083;9.596;NAN;*;htru_eff,gbncc,lotaas;
107;J0215+6218;llc98;J0215+6218;llc98;NAN;0;*;NAN;0;*;NAN;0;*;51341.0;hlk+04;132.575;1.030;33.98595;4.0e-05;62.30927;2.7e-05;0.548879819155;3.0e-12;hlk+04;6.6212E-16;3.0e-20;hlk+04;84.00;5.0e-02;hlk+04;41;0;mss+20;105;0;mss+20;NAN;0;*;14.5;0;slr+14;3.7;7.0e-01;llc98;NAN;0;*;2.004;2.004;ymw17;0.036;1.475;9.856;NAN;*;misc,gbncc;
